,country,year,d_protest,preds_proba
128,Burkina Faso,2021,1,0.5841681813211452
129,Burkina Faso,2022,1,0.5553579076198091
130,Burkina Faso,2023,1,0.5216073850681334
131,Burundi,2017,1,0.6858741848433939
132,Burundi,2018,1,0.5783832354792559
133,Burundi,2019,1,0.5401031879042847
134,Burundi,2020,0,0.5433631102765469
135,Burundi,2021,0,0.5358910403369512
136,Burundi,2022,1,0.46963413068424975
137,Burundi,2023,0,0.45308206074549895
138,Cambodia (Kampuchea),2017,1,0.8169141596360322
139,Cambodia (Kampuchea),2018,1,0.79341100326463
140,Cambodia (Kampuchea),2019,1,0.7826963395359507
141,Cambodia (Kampuchea),2020,1,0.7366796704039036
142,Cambodia (Kampuchea),2021,1,0.7321675606491427
143,Cambodia (Kampuchea),2022,1,0.7145317523952802
144,Cambodia (Kampuchea),2023,1,0.7012893671731687
145,Cameroon,2017,1,0.15124343641351182
146,Cameroon,2018,1,0.23945500135858408
147,Cameroon,2019,1,0.2716416116378596
148,Cameroon,2020,1,0.3050714512630073
149,Cameroon,2021,1,0.28443199181375395
150,Cameroon,2022,1,0.2861370752677917
151,Cameroon,2023,1,0.30270586588895115
152,Canada,2021,1,0.6298306164470286
153,Canada,2022,1,0.641567154614501
154,Canada,2023,1,0.6193346352488311
155,Cabo Verde,2020,1,0.5451262362927528
156,Cabo Verde,2021,1,0.536198560031754
157,Cabo Verde,2022,1,0.507549921130297
158,Cabo Verde,2023,1,0.48680482472953035
159,Central African Republic,2017,1,0.6458827204029213
160,Central African Republic,2018,0,0.5455286379877266
161,Central African Republic,2019,1,0.5508019942765702
162,Central African Republic,2020,1,0.5210118186014356
163,Central African Republic,2021,1,0.5094298263736883
164,Central African Republic,2022,1,0.5294280818804991
165,Central African Republic,2023,0,0.47547689176024277
166,Chad,2017,0,0.04779965126549761
167,Chad,2018,0,0.08816703196196643
168,Chad,2019,1,0.11366645778559215
169,Chad,2020,0,0.10491912058069146
170,Chad,2021,1,0.14488973014284895
171,Chad,2022,1,0.18163352006463407
172,Chad,2023,1,0.18671737496234178
173,Chile,2018,1,0.6539032400256171
174,Chile,2019,1,0.6876234844439932
175,Chile,2020,1,0.6737205148164145
176,Chile,2021,1,0.6632657389365569
177,Chile,2022,1,0.6434251323099813
178,Chile,2023,1,0.6378093846528826
179,China,2018,1,0.766488807844521
180,China,2019,1,0.7566069810297849
181,China,2020,1,0.7518277868039702
182,China,2021,1,0.7448939695333213
183,China,2022,1,0.7228580623423468
184,China,2023,1,0.7118633625991134
185,Colombia,2018,1,0.7341787160449966
186,Colombia,2019,1,0.7712650794279938
187,Colombia,2020,1,0.7744194943571117
188,Colombia,2021,1,0.7670796649569371
189,Colombia,2022,1,0.7522891920029493
190,Colombia,2023,1,0.7412773671270663
191,Comoros,2020,0,0.33907365957918284
192,Comoros,2021,0,0.34115558491815307
193,Comoros,2022,0,0.3275107815855601
194,Comoros,2023,0,0.3196251743201518
195,Costa Rica,2018,1,0.6678152064014251
196,Costa Rica,2019,1,0.648290312822662
197,Costa Rica,2020,1,0.6416545935961158
198,Costa Rica,2021,1,0.6510145615887822
199,Costa Rica,2022,1,0.6422441962369775
200,Costa Rica,2023,1,0.6201124054261968
201,Croatia,2018,1,0.6461109331287956
202,Croatia,2019,1,0.6579592575273217
203,Croatia,2020,1,0.6868706107443647
204,Croatia,2021,1,0.654926004968057
205,Croatia,2022,1,0.6396003984090486
206,Croatia,2023,1,0.618640135347603
207,Cuba,2018,0,0.6466779126147463
208,Cuba,2019,0,0.6476755093505056
209,Cuba,2020,1,0.6358024834573014
210,Cuba,2021,1,0.6112145674533088
211,Cuba,2022,1,0.613042530349623
212,Cuba,2023,1,0.6066649242692382
213,Cyprus,2018,1,0.6733627141783408
214,Cyprus,2019,1,0.672639399828596
215,Cyprus,2020,1,0.6832472851196572
216,Cyprus,2021,1,0.6802976893650299
217,Cyprus,2022,1,0.6678704694264359
218,Cyprus,2023,1,0.6559607686452775
219,Czechia,2020,1,0.6770953505109211
220,Czechia,2021,1,0.6710313342971815
221,Czechia,2022,1,0.6669025540431026
222,Czechia,2023,1,0.6591139568601894
223,DR Congo (Zaire),2017,1,0.6855788069327471
224,DR Congo (Zaire),2018,1,0.6709244921904797
225,DR Congo (Zaire),2019,1,0.6621578462978727
226,DR Congo (Zaire),2020,1,0.6655936403447705
227,DR Congo (Zaire),2021,1,0.6592207299621503
228,DR Congo (Zaire),2022,1,0.639677096368414
229,DR Congo (Zaire),2023,1,0.6082889163259524
230,Denmark,2020,1,0.6641259640057813
231,Denmark,2021,1,0.6647528916286534
232,Denmark,2022,1,0.6573988179731595
233,Denmark,2023,1,0.6350984395759967
234,Djibouti,2017,0,0.08606078063300901
235,Djibouti,2018,0,0.08866044716043515
236,Djibouti,2019,0,0.09908735170509442
237,Djibouti,2020,1,0.09667802650072238
238,Djibouti,2021,0,0.12667847929220633
239,Djibouti,2022,0,0.1584243526813642
240,Djibouti,2023,0,0.17048940280765712
241,Dominican Republic,2018,1,0.7097001842753922
242,Dominican Republic,2019,0,0.7399559578542931
243,Dominican Republic,2020,1,0.7369247125380242
244,Dominican Republic,2021,1,0.7441021740492675
245,Dominican Republic,2022,1,0.7405185954053712
246,Dominican Republic,2023,1,0.7184194432980231
247,East Timor,2020,0,0.40675506962580776
248,East Timor,2021,0,0.40353091419377046
249,East Timor,2022,0,0.39732018920268075
250,East Timor,2023,0,0.4051167829415841
251,Ecuador,2018,1,0.6928540475380564
252,Ecuador,2019,1,0.7071587201867838
253,Ecuador,2020,1,0.7389624287283209
254,Ecuador,2021,1,0.7320717758768351
255,Ecuador,2022,1,0.7276280686020222
256,Ecuador,2023,1,0.7272953459272693
257,Egypt,2017,1,0.8833267407800061
258,Egypt,2018,1,0.877674642274649
259,Egypt,2019,1,0.8241159044320108
260,Egypt,2020,1,0.807901795027584
261,Egypt,2021,1,0.8202983089102923
262,Egypt,2022,1,0.7673718542047607
263,Egypt,2023,1,0.7283771283987451
264,El Salvador,2018,1,0.5884697072581317
265,El Salvador,2019,1,0.6057234795889697
266,El Salvador,2020,1,0.5912169597512735
267,El Salvador,2021,1,0.5850501092822877
268,El Salvador,2022,1,0.5951821405376366
269,El Salvador,2023,1,0.5951130156676349
270,Equatorial Guinea,2017,0,0.06752265173519119
271,Equatorial Guinea,2018,0,0.06979174263667302
272,Equatorial Guinea,2019,0,0.10561813421402515
273,Equatorial Guinea,2020,0,0.13217253754049338
274,Equatorial Guinea,2021,0,0.15373329137681271
275,Equatorial Guinea,2022,0,0.16344983958563306
276,Equatorial Guinea,2023,0,0.1851292137193644
277,Eritrea,2017,0,0.06932439056569054
278,Eritrea,2018,0,0.09316873447062778
279,Eritrea,2019,0,0.12414364728365401
280,Eritrea,2020,0,0.1498956296150751
281,Eritrea,2021,0,0.1394823215625448
282,Eritrea,2022,0,0.15665495671576504
283,Eritrea,2023,0,0.16881055240143394
284,Estonia,2020,1,0.6276503116626317
285,Estonia,2021,1,0.6329693410015118
286,Estonia,2022,1,0.6234526663665304
287,Estonia,2023,1,0.5986733306858721
288,Ethiopia,2017,1,0.6795189561756356
289,Ethiopia,2018,1,0.6282516420783268
290,Ethiopia,2019,1,0.6277946461312001
291,Ethiopia,2020,1,0.5816230435800529
292,Ethiopia,2021,1,0.6485937574656389
293,Ethiopia,2022,1,0.6560530509574678
294,Ethiopia,2023,1,0.5974770763501758
295,Fiji,2021,0,0.5733730766488805
296,Fiji,2022,0,0.5444693589404548
297,Fiji,2023,0,0.5325102127269603
298,Finland,2020,1,0.5485863420577677
299,Finland,2021,1,0.5461409690770278
300,Finland,2022,1,0.5451155841375548
301,Finland,2023,1,0.5280176798249451
302,France,2020,1,0.7118578777954119
303,France,2021,1,0.7069416039805778
304,France,2022,1,0.7009160754356765
305,France,2023,1,0.6827388762848927
306,Gabon,2017,0,0.08399005936662055
307,Gabon,2018,0,0.13218308669623133
308,Gabon,2019,1,0.19995453466455737
309,Gabon,2020,0,0.21651951141466624
310,Gabon,2021,1,0.2262195117561655
311,Gabon,2022,1,0.2311607098934026
312,Gabon,2023,1,0.24741373542427392
313,Gambia,2017,0,0.12106633992997912
314,Gambia,2018,0,0.13410692574872476
315,Gambia,2019,0,0.1564273996152587
316,Gambia,2020,0,0.15961284902860376
317,Gambia,2021,0,0.19307227991637335
318,Gambia,2022,0,0.20257551343942332
319,Gambia,2023,0,0.20376382625003917
320,Georgia,2018,1,0.6752268624649145
321,Georgia,2019,1,0.6735453795487409
322,Georgia,2020,1,0.6882140469193971
323,Georgia,2021,1,0.6695383968862618
324,Georgia,2022,1,0.6616087996005531
325,Georgia,2023,1,0.6462906453150631
326,Germany,2020,1,0.7122263081039991
327,Germany,2021,1,0.7069969143960518
328,Germany,2022,1,0.7035892510017799
329,Germany,2023,1,0.6837643161840511
330,Ghana,2017,1,0.6039867195847164
331,Ghana,2018,1,0.5827997485802282
332,Ghana,2019,1,0.5852419446021575
333,Ghana,2020,1,0.6088674840824706
334,Ghana,2021,1,0.5611962409136383
335,Ghana,2022,1,0.5187446679278848
336,Ghana,2023,1,0.4926067819830602
337,Greece,2018,1,0.7260594990023796
338,Greece,2019,1,0.7253437382622256
339,Greece,2020,1,0.699346946000908
340,Greece,2021,1,0.7067207263162657
341,Greece,2022,1,0.7063471039175426
342,Greece,2023,1,0.6764709198791093
343,Guatemala,2018,1,0.6056041743937336
344,Guatemala,2019,1,0.6206218081815894
345,Guatemala,2020,1,0.6440616864885556
346,Guatemala,2021,1,0.64890855947086
347,Guatemala,2022,1,0.648334655229038
348,Guatemala,2023,1,0.6292563989307871
349,Guinea,2017,0,0.1506496086776884
350,Guinea,2018,1,0.1769306387745186
351,Guinea,2019,1,0.2050612303854834
352,Guinea,2020,1,0.22208190318110688
353,Guinea,2021,1,0.23522684772151586
354,Guinea,2022,1,0.24859592356479127
355,Guinea,2023,1,0.23234428423645798
356,Guinea-Bissau,2017,0,0.08547341863989663
357,Guinea-Bissau,2018,0,0.11420530411071465
358,Guinea-Bissau,2019,0,0.11604812152032337
359,Guinea-Bissau,2020,0,0.165156701775612
360,Guinea-Bissau,2021,0,0.14074547534216922
361,Guinea-Bissau,2022,0,0.19062724230736994
362,Guinea-Bissau,2023,0,0.19832551910232296
363,Guyana,2018,1,0.43682395533399365
364,Guyana,2019,1,0.47641834903098434
365,Guyana,2020,1,0.4781329694215092
366,Guyana,2021,1,0.4751655560749391
367,Guyana,2022,1,0.4706594156607684
368,Guyana,2023,1,0.4694570795340235
369,Haiti,2018,1,0.4327973612832521
370,Haiti,2019,1,0.42610513850618625
371,Haiti,2020,1,0.4367019158445618
372,Haiti,2021,1,0.44059463112706576
373,Haiti,2022,1,0.4534961218576734
374,Haiti,2023,1,0.45283318961387636
375,Honduras,2018,1,0.5437120947743536
376,Honduras,2019,1,0.580558753070358
377,Honduras,2020,1,0.5547559255205204
378,Honduras,2021,1,0.5891105967747139
379,Honduras,2022,1,0.5569043491160812
380,Honduras,2023,1,0.5274062392384553
381,Hungary,2020,1,0.6700336544071399
382,Hungary,2021,1,0.6742793054900336
383,Hungary,2022,1,0.6604206171809506
384,Hungary,2023,1,0.6489735561517207
385,Iceland,2020,1,0.5395938571853469
386,Iceland,2021,1,0.5402826645658508
387,Iceland,2022,1,0.5371710114830442
388,Iceland,2023,1,0.5198524858768707
389,India,2017,1,0.9198122220823721
390,India,2018,1,0.90673514686279
391,India,2019,1,0.8825115570749441
392,India,2020,1,0.875685456339787
393,India,2021,1,0.863250986338233
394,India,2022,1,0.8540187427035921
395,India,2023,1,0.8104192401833431
396,Indonesia,2017,1,0.9427859513849797
397,Indonesia,2018,1,0.9329617899609958
398,Indonesia,2019,1,0.9314570452461375
399,Indonesia,2020,1,0.9182004340286678
400,Indonesia,2021,1,0.8973705741180511
401,Indonesia,2022,1,0.8896755707880089
402,Indonesia,2023,1,0.8507183581175333
403,Iran,2017,1,0.8797725354348118
404,Iran,2018,1,0.8538293417853877
405,Iran,2019,1,0.836954756242194
406,Iran,2020,1,0.8163715643547744
407,Iran,2021,1,0.8088696814518571
408,Iran,2022,1,0.7899382078807982
409,Iran,2023,1,0.7766251967440362
410,Iraq,2017,1,0.7806631109371254
411,Iraq,2018,1,0.7376169326072785
412,Iraq,2019,1,0.7289642887523616
413,Iraq,2020,1,0.7283645448900641
414,Iraq,2021,1,0.7315897093170352
415,Iraq,2022,1,0.7034299129740902
416,Iraq,2023,1,0.6943702424500882
417,Ireland,2020,1,0.6304542938132793
418,Ireland,2021,1,0.636049762641141
419,Ireland,2022,1,0.6262911762488597
420,Ireland,2023,1,0.6084654993231199
