,country,year,d_sb,preds,preds_proba
115,Venezuela,2020,0,0,0.14940766208515313
116,Venezuela,2021,0,0,0.13409667464627897
117,Venezuela,2022,0,0,0.14925359313644637
118,Venezuela,2023,0,0,0.15546028513876714
119,Guyana,2017,0,0,0.0054573617876506235
120,Guyana,2018,0,0,0.005402454207517779
121,Guyana,2019,0,0,0.006852478204856808
122,Guyana,2020,0,0,0.0053472362098668244
123,Guyana,2021,0,0,0.005349214994569814
124,Guyana,2022,0,0,0.10889238730114939
125,Guyana,2023,0,0,0.2358479215234618
126,Suriname,2017,0,0,0.006182702128126829
127,Suriname,2018,0,0,0.005502383793131749
128,Suriname,2019,0,0,0.006131474689822032
129,Suriname,2020,0,0,0.006130153165628888
130,Suriname,2021,0,0,0.005394402578544884
131,Suriname,2022,0,0,0.2789383837767044
132,Suriname,2023,0,0,0.3405446769432644
133,Ecuador,2017,0,0,0.010969275402558282
134,Ecuador,2018,0,0,0.010969275402558282
135,Ecuador,2019,1,0,0.010969275402558282
136,Ecuador,2020,0,0,0.013829975312113973
137,Ecuador,2021,0,0,0.013829975312113973
138,Ecuador,2022,0,0,0.007876786500416679
139,Ecuador,2023,0,0,0.07148133863981491
140,Peru,2017,1,1,0.7487580373891667
141,Peru,2018,0,1,0.7502869373374821
142,Peru,2019,0,1,0.8399265560243863
143,Peru,2020,1,1,0.7556660869842393
144,Peru,2021,1,1,0.7258345809060183
145,Peru,2022,1,1,0.6854814360119543
146,Peru,2023,1,1,0.6514286299078512
147,Brazil,2017,0,0,0.0086445471109427
148,Brazil,2018,0,0,0.033241304816978366
149,Brazil,2019,0,0,0.03533940370640813
150,Brazil,2020,0,0,0.0338359907038929
151,Brazil,2021,0,0,0.03557526841534739
152,Brazil,2022,0,0,0.03709237433793591
153,Brazil,2023,0,0,0.04044808000882452
154,Bolivia,2017,0,0,0.011457484656754632
155,Bolivia,2018,0,0,0.010701827418754528
156,Bolivia,2019,0,0,0.014392398337748039
157,Bolivia,2020,0,0,0.019557649353689692
158,Bolivia,2021,0,0,0.011457484656754632
159,Bolivia,2022,0,0,0.050430575178275504
160,Bolivia,2023,0,0,0.11422259882492841
161,Paraguay,2017,0,0,0.0038320746241756964
162,Paraguay,2018,0,0,0.0030564745963984866
163,Paraguay,2019,0,0,0.0038320746241756964
164,Paraguay,2020,0,0,0.006213999937193858
165,Paraguay,2021,0,0,0.003833309449893848
