,country,year,d_civil_conflict,preds,preds_proba
125,Guyana,2023,0,0,6.828362285589424e-06
126,Suriname,2017,0,0,6.828362285589424e-06
127,Suriname,2018,0,0,6.828362285589424e-06
128,Suriname,2019,0,0,6.828362285589424e-06
129,Suriname,2020,0,0,6.828362285589424e-06
130,Suriname,2021,0,0,6.828362285589424e-06
131,Suriname,2022,0,0,6.828362285589424e-06
132,Suriname,2023,0,0,6.828362285589424e-06
133,Ecuador,2017,0,0,0.03678819588602095
134,Ecuador,2018,0,0,0.0
135,Ecuador,2019,0,0,0.024272413328593406
136,Ecuador,2020,0,0,0.019702167939763947
137,Ecuador,2021,0,0,0.02021677133047353
138,Ecuador,2022,0,0,0.06124199456695694
139,Ecuador,2023,0,0,0.05237421329873319
140,Peru,2017,0,0,0.08626284624993535
141,Peru,2018,0,0,0.004264901185822563
142,Peru,2019,0,0,0.07455780945526853
143,Peru,2020,0,0,0.07550220257132752
144,Peru,2021,0,0,0.09120121929374322
145,Peru,2022,0,0,0.10621996710967384
146,Peru,2023,0,0,0.1544779296874781
147,Brazil,2017,0,0,0.03491523855839459
148,Brazil,2018,0,0,0.0
149,Brazil,2019,0,0,0.03359834011760234
150,Brazil,2020,0,0,0.03359834011760234
151,Brazil,2021,0,0,0.07658661175111081
152,Brazil,2022,0,0,0.08604282048829302
153,Brazil,2023,0,0,0.08604282048829302
154,Bolivia,2017,0,0,0.0
155,Bolivia,2018,0,0,0.0
156,Bolivia,2019,0,0,0.0
157,Bolivia,2020,0,0,0.0
158,Bolivia,2021,0,0,0.0
159,Bolivia,2022,0,0,0.0
160,Bolivia,2023,0,0,0.0
161,Paraguay,2017,0,0,0.0
162,Paraguay,2018,0,0,0.0
163,Paraguay,2019,0,0,0.0
164,Paraguay,2020,0,0,0.0
165,Paraguay,2021,0,0,0.0
166,Paraguay,2022,0,0,0.0
167,Paraguay,2023,0,0,0.0
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.0
170,Chile,2019,0,0,0.0
171,Chile,2020,0,0,0.0
172,Chile,2021,0,0,0.0
173,Chile,2022,0,0,0.0
174,Chile,2023,0,0,0.0
175,Argentina,2017,0,0,0.0
176,Argentina,2018,0,0,0.0
177,Argentina,2019,0,0,0.0
178,Argentina,2020,0,0,0.0
179,Argentina,2021,0,0,0.0
180,Argentina,2022,0,0,0.0
181,Argentina,2023,0,0,0.0
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.0
188,Uruguay,2023,0,0,0.0
189,United Kingdom,2017,0,0,0.00021266191393466054
190,United Kingdom,2018,0,0,0.00021266191393466054
191,United Kingdom,2019,0,0,0.0
192,United Kingdom,2020,0,0,0.0
193,United Kingdom,2021,0,0,0.0
194,United Kingdom,2022,0,0,0.0
195,United Kingdom,2023,0,0,0.0
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.0
209,Netherlands,2023,0,0,0.0
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0
222,Luxembourg,2022,0,0,0.0
223,Luxembourg,2023,0,0,0.0
224,France,2017,0,0,0.0
225,France,2018,0,0,0.0
226,France,2019,0,0,0.0
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0
229,France,2022,0,0,0.0
230,France,2023,0,0,0.0
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.0
237,Switzerland,2023,0,0,0.0
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0
240,Spain,2019,0,0,0.0
241,Spain,2020,0,0,0.0
242,Spain,2021,0,0,0.0
243,Spain,2022,0,0,0.0
244,Spain,2023,0,0,0.0
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.0
251,Portugal,2023,0,0,0.0
252,Germany,2017,0,0,0.0020216829766977256
253,Germany,2018,0,0,0.003127877666963213
254,Germany,2019,0,0,0.09673234350594229
255,Germany,2020,0,0,0.09746980663278594
256,Germany,2021,0,0,0.11603738711690302
257,Germany,2022,0,0,0.06550590348254323
258,Germany,2023,0,0,0.05462520969255741
259,Poland,2017,0,0,0.01771097387588556
260,Poland,2018,0,0,0.01771097387588556
261,Poland,2019,0,0,0.01771097387588556
262,Poland,2020,0,0,0.01771097387588556
263,Poland,2021,0,0,0.01771097387588556
264,Poland,2022,0,0,0.01771097387588556
265,Poland,2023,0,0,0.01771097387588556
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.0
270,Austria,2021,0,0,0.0
271,Austria,2022,0,0,0.0
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.01771097387588556
274,Hungary,2018,0,0,0.01771097387588556
275,Hungary,2019,0,0,0.01771097387588556
276,Hungary,2020,0,0,0.01771097387588556
277,Hungary,2021,0,0,0.01771097387588556
278,Hungary,2022,0,0,0.01771097387588556
279,Hungary,2023,0,0,0.01771097387588556
280,Czechia,2017,0,0,0.000760087745676764
281,Czechia,2018,0,0,0.000760087745676764
282,Czechia,2019,0,0,0.000760087745676764
283,Czechia,2020,0,0,0.000760087745676764
284,Czechia,2021,0,0,0.000760087745676764
285,Czechia,2022,0,0,0.000760087745676764
286,Czechia,2023,0,0,0.000760087745676764
287,Slovakia,2017,0,0,0.014983553616002551
288,Slovakia,2018,0,0,0.011905406049931169
289,Slovakia,2019,0,0,0.009349304829744389
290,Slovakia,2020,0,0,0.016197836814363185
291,Slovakia,2021,0,0,0.016197836814363185
292,Slovakia,2022,0,0,0.016197836814363185
293,Slovakia,2023,0,0,0.016197836814363185
294,Italy,2017,0,0,0.0
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.0
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.0
299,Italy,2022,0,0,0.0
300,Italy,2023,0,0,0.0
301,Malta,2017,0,0,6.828362285589424e-06
302,Malta,2018,0,0,6.828362285589424e-06
303,Malta,2019,0,0,6.828362285589424e-06
304,Malta,2020,0,0,6.828362285589424e-06
305,Malta,2021,0,0,6.828362285589424e-06
306,Malta,2022,0,0,6.828362285589424e-06
307,Malta,2023,0,0,6.828362285589424e-06
308,Albania,2017,0,0,4.82065366960851e-05
309,Albania,2018,0,0,4.82065366960851e-05
310,Albania,2019,0,0,4.82065366960851e-05
311,Albania,2020,0,0,0.0
312,Albania,2021,0,0,0.0
313,Albania,2022,0,0,0.0
314,Albania,2023,0,0,0.0
315,Serbia,2017,0,0,0.0058953818418653455
316,Serbia,2018,0,0,0.001263997265027611
317,Serbia,2019,0,0,0.0010174444080235537
318,Serbia,2020,0,0,0.0008105199917262902
319,Serbia,2021,0,0,0.0005368945770861695
320,Serbia,2022,0,0,0.0002281887274414022
321,Serbia,2023,0,0,0.0002281887274414022
322,Montenegro,2017,0,0,0.0058953818418653455
323,Montenegro,2018,0,0,0.001263997265027611
324,Montenegro,2019,0,0,0.0010174444080235537
325,Montenegro,2020,0,0,0.0008105199917262902
326,Montenegro,2021,0,0,0.0005368945770861695
327,Montenegro,2022,0,0,0.0002281887274414022
328,Montenegro,2023,0,0,0.0002281887274414022
329,North Macedonia,2017,0,0,0.00011375296458421366
330,North Macedonia,2018,0,0,5.56211599924371e-05
331,North Macedonia,2019,0,0,5.56211599924371e-05
332,North Macedonia,2020,0,0,5.56211599924371e-05
333,North Macedonia,2021,0,0,5.56211599924371e-05
334,North Macedonia,2022,0,0,0.016604533689791538
335,North Macedonia,2023,0,0,0.002212886713826349
336,Croatia,2017,0,0,0.000760087745676764
337,Croatia,2018,0,0,0.000760087745676764
338,Croatia,2019,0,0,0.000760087745676764
339,Croatia,2020,0,0,0.000760087745676764
340,Croatia,2021,0,0,0.000760087745676764
341,Croatia,2022,0,0,0.000760087745676764
