,country,year,d_sb,preds,preds_proba
116,Venezuela,2021,0,0,0.0930731142014328
117,Venezuela,2022,0,0,0.11203645174884114
118,Venezuela,2023,0,0,0.12026970080067427
119,Guyana,2017,0,0,0.06094079224610198
120,Guyana,2018,0,0,0.06180116589408624
121,Guyana,2019,0,0,0.06267909818794773
122,Guyana,2020,0,0,0.06194163506110409
123,Guyana,2021,0,0,0.06039296249473241
124,Guyana,2022,0,0,0.07422039612305097
125,Guyana,2023,0,0,0.1021934880146749
126,Suriname,2017,0,0,0.00460914454277286
127,Suriname,2018,0,0,0.00621506753609688
128,Suriname,2019,0,0,0.008427456916627853
129,Suriname,2020,0,0,0.01180925211258234
130,Suriname,2021,0,0,0.016971494000487947
131,Suriname,2022,0,0,0.012546715239426
132,Suriname,2023,0,0,0.03210002328830927
133,Ecuador,2017,0,0,0.06483178817249613
134,Ecuador,2018,0,0,0.08429554712740553
135,Ecuador,2019,1,0,0.10973802500351172
136,Ecuador,2020,0,0,0.18027637308610764
137,Ecuador,2021,0,0,0.20860724820901813
138,Ecuador,2022,0,0,0.21935840707964602
139,Ecuador,2023,0,0,0.2506391347099312
140,Peru,2017,1,1,0.7907181805411893
141,Peru,2018,0,1,0.7744082736339373
142,Peru,2019,0,1,0.758184084843377
143,Peru,2020,1,1,0.7402795336423657
144,Peru,2021,1,1,0.7298259938193566
145,Peru,2022,1,1,0.6869056398370558
146,Peru,2023,1,1,0.659140153111392
147,Brazil,2017,0,0,0.011522861356932155
148,Brazil,2018,0,0,0.02147861356932153
149,Brazil,2019,0,0,0.03608038348082597
150,Brazil,2020,0,0,0.03995206489675517
151,Brazil,2021,0,0,0.05027654867256637
152,Brazil,2022,0,0,0.0527839233038348
153,Brazil,2023,0,0,0.05986356932153391
154,Bolivia,2017,0,0,0.00904044952619626
155,Bolivia,2018,0,0,0.009040449526196257
156,Bolivia,2019,0,0,0.008671717962774427
157,Bolivia,2020,0,0,0.05640401884773018
158,Bolivia,2021,0,0,0.009040449526196257
159,Bolivia,2022,0,0,0.011252838906727231
160,Bolivia,2023,0,0,0.015308886104367349
161,Paraguay,2017,0,0,0.011068473125016316
162,Paraguay,2018,0,0,0.008856083744485342
163,Paraguay,2019,0,0,0.01585545722713864
164,Paraguay,2020,0,0,0.02642576204523107
165,Paraguay,2021,0,0,0.029240412979351038
166,Paraguay,2022,0,0,0.03190581542351454
167,Paraguay,2023,0,0,0.04813000421407501
168,Chile,2017,0,0,0.013869574378423935
169,Chile,2018,0,0,0.016671934260429837
170,Chile,2019,0,0,0.21229456384323642
171,Chile,2020,0,0,0.21174146649810366
172,Chile,2021,0,0,0.21079329962073323
173,Chile,2022,0,0,0.20415613147914033
174,Chile,2023,0,0,0.2102402022756005
175,Argentina,2017,0,0,0.00995575221238938
176,Argentina,2018,0,0,0.014380530973451327
177,Argentina,2019,0,0,0.018805309734513276
178,Argentina,2020,0,0,0.02680678466076696
179,Argentina,2021,0,0,0.030309734513274334
180,Argentina,2022,0,0,0.031047197640117995
181,Argentina,2023,0,0,0.030051622418879056
182,Uruguay,2017,0,0,0.004424778761061947
183,Uruguay,2018,0,0,0.004424778761061947
184,Uruguay,2019,0,0,0.004424778761061947
185,Uruguay,2020,0,0,0.004424778761061947
186,Uruguay,2021,0,0,0.004424778761061947
187,Uruguay,2022,0,0,0.0058997050147492625
188,Uruguay,2023,0,0,0.008112094395280236
189,United Kingdom,2017,0,0,0.07652456933430385
190,United Kingdom,2018,0,0,0.12877909946494018
191,United Kingdom,2019,1,0,0.14231681543628444
192,United Kingdom,2020,0,0,0.21323131760078673
193,United Kingdom,2021,0,0,0.23030358898721742
194,United Kingdom,2022,0,0,0.21420055485320982
195,United Kingdom,2023,0,0,0.19451028936648415
196,Ireland,2017,0,0,0.00663716814159292
197,Ireland,2018,0,0,0.008849557522123894
198,Ireland,2019,0,0,0.00663716814159292
199,Ireland,2020,0,0,0.00663716814159292
200,Ireland,2021,0,0,0.009292035398230088
201,Ireland,2022,0,0,0.008185840707964602
202,Ireland,2023,0,0,0.01421723556679309
203,Netherlands,2017,0,0,0.0055309734513274336
204,Netherlands,2018,0,0,0.05356791684225313
205,Netherlands,2019,0,0,0.058730158730158744
206,Netherlands,2020,0,0,0.0594676218570024
207,Netherlands,2021,0,0,0.052830453715409474
208,Netherlands,2022,0,0,0.05873015873015874
209,Netherlands,2023,0,0,0.06104789998595309
210,Belgium,2017,0,1,0.505148673843364
211,Belgium,2018,1,1,0.5029362844628331
212,Belgium,2019,0,0,0.4884820071766975
213,Belgium,2020,0,0,0.4807070387822601
214,Belgium,2021,0,0,0.4674327024990742
215,Belgium,2022,0,0,0.42246979912909116
216,Belgium,2023,0,0,0.42394472538277855
217,Luxembourg,2017,0,0,0.007374631268436578
218,Luxembourg,2018,0,0,0.007374631268436578
219,Luxembourg,2019,0,0,0.007374631268436578
220,Luxembourg,2020,0,0,0.011061946902654867
221,Luxembourg,2021,0,0,0.009402654867256638
222,Luxembourg,2022,0,0,0.009402654867256638
223,Luxembourg,2023,0,0,0.011615044247787611
224,France,2017,1,0,0.30877493327714567
225,France,2018,1,0,0.24615729034976827
226,France,2019,0,0,0.21630056890012642
227,France,2020,0,0,0.21762800252844502
228,France,2021,0,0,0.20995838600927094
229,France,2022,0,0,0.20350558364938895
230,France,2023,0,0,0.20044511167298779
231,Switzerland,2017,0,0,0.004523107177974434
232,Switzerland,2018,0,0,0.004523107177974434
233,Switzerland,2019,0,0,0.006735496558505409
234,Switzerland,2020,0,0,0.00968534906588004
235,Switzerland,2021,0,0,0.014847590953785642
236,Switzerland,2022,0,0,0.014847590953785642
237,Switzerland,2023,0,0,0.01595378564405113
238,Spain,2017,0,0,0.06723205506391347
239,Spain,2018,0,0,0.14169739429695183
240,Spain,2019,0,0,0.1505153462564967
241,Spain,2020,0,0,0.14996224891136392
