,country,year,d_sb,preds,preds_proba
128,Suriname,2019,0,0,7.630269545629015e-05
129,Suriname,2020,0,0,0.00010833344497582891
130,Suriname,2021,0,0,7.630269545629015e-05
131,Suriname,2022,0,0,7.630269545629015e-05
132,Suriname,2023,0,0,7.630269545629015e-05
133,Ecuador,2017,0,0,0.00943715896352106
134,Ecuador,2018,0,0,0.012108900145912021
135,Ecuador,2019,1,0,0.010495665383277493
136,Ecuador,2020,0,1,0.9535352899293436
137,Ecuador,2021,0,0,0.34178436453100136
138,Ecuador,2022,0,0,0.40077176941348797
139,Ecuador,2023,0,0,0.2481203271533145
140,Peru,2017,1,1,0.9555295001849438
141,Peru,2018,0,1,0.7596131666291748
142,Peru,2019,0,0,0.11463599988498309
143,Peru,2020,1,0,0.15730977052547993
144,Peru,2021,1,1,0.980736198589989
145,Peru,2022,1,1,0.980736198589989
146,Peru,2023,1,1,0.97763800381018
147,Brazil,2017,0,0,0.04412641318491024
148,Brazil,2018,0,0,0.04272133097265314
149,Brazil,2019,0,0,0.04092760899955897
150,Brazil,2020,0,0,0.040568864604940136
151,Brazil,2021,0,0,0.05322196322357
152,Brazil,2022,0,0,0.040003393054327166
153,Brazil,2023,0,0,0.040003393054327166
154,Bolivia,2017,0,0,0.09225595982280757
155,Bolivia,2018,0,0,0.06093704964152267
156,Bolivia,2019,0,0,0.0010279417532222895
157,Bolivia,2020,0,0,0.0005795112599487469
158,Bolivia,2021,0,0,0.04272133097265314
159,Bolivia,2022,0,0,0.04092760899955897
160,Bolivia,2023,0,0,0.040568864604940136
161,Paraguay,2017,0,0,0.0001381430350633014
162,Paraguay,2018,0,0,0.0001381430350633014
163,Paraguay,2019,0,0,0.0001381430350633014
164,Paraguay,2020,0,0,0.0001381430350633014
165,Paraguay,2021,0,0,0.0001381430350633014
166,Paraguay,2022,0,0,0.0001381430350633014
167,Paraguay,2023,0,0,0.0001381430350633014
168,Chile,2017,0,0,0.05322196322357
169,Chile,2018,0,0,0.040003393054327166
170,Chile,2019,0,0,0.0001381430350633014
171,Chile,2020,0,0,0.0001381430350633014
172,Chile,2021,0,0,0.040003393054327166
173,Chile,2022,0,0,0.040003393054327166
174,Chile,2023,0,0,0.040003393054327166
175,Argentina,2017,0,0,0.0001381430350633014
176,Argentina,2018,0,0,0.0001381430350633014
177,Argentina,2019,0,0,0.0001381430350633014
178,Argentina,2020,0,0,0.0001381430350633014
179,Argentina,2021,0,0,0.0001381430350633014
180,Argentina,2022,0,0,0.0001381430350633014
181,Argentina,2023,0,0,0.0001381430350633014
182,Uruguay,2017,0,0,0.012694897792012699
183,Uruguay,2018,0,0,0.009809994951952908
184,Uruguay,2019,0,0,0.008093146777705633
185,Uruguay,2020,0,0,0.010935697848956255
186,Uruguay,2021,0,0,0.04374816400485547
187,Uruguay,2022,0,0,0.002571964587044955
188,Uruguay,2023,0,0,0.003330729307366936
189,United Kingdom,2017,0,0,0.1332162119584212
190,United Kingdom,2018,0,0,0.16264418893192711
191,United Kingdom,2019,1,0,0.22120462158149237
192,United Kingdom,2020,0,0,0.09876587708308268
193,United Kingdom,2021,0,0,0.2840076820523616
194,United Kingdom,2022,0,0,0.10058818717205135
195,United Kingdom,2023,0,0,0.10519698018302663
196,Ireland,2017,0,0,1.4887773486267276e-05
197,Ireland,2018,0,0,1.4887773486267276e-05
198,Ireland,2019,0,0,1.4887773486267276e-05
199,Ireland,2020,0,0,0.012796074437887862
200,Ireland,2021,0,0,1.4887773486267276e-05
201,Ireland,2022,0,0,1.4887773486267276e-05
202,Ireland,2023,0,0,1.4887773486267276e-05
203,Netherlands,2017,0,0,0.015249597304167679
204,Netherlands,2018,0,0,0.0001381430350633014
205,Netherlands,2019,0,0,0.040003393054327166
206,Netherlands,2020,0,0,0.0001381430350633014
207,Netherlands,2021,0,0,0.0001381430350633014
208,Netherlands,2022,0,0,0.0001381430350633014
209,Netherlands,2023,0,0,0.0001381430350633014
210,Belgium,2017,0,1,0.7871299988016288
211,Belgium,2018,1,1,0.8895098652385652
212,Belgium,2019,0,1,0.9492171157920881
213,Belgium,2020,0,0,0.252161019364598
214,Belgium,2021,0,0,0.007506115656240919
215,Belgium,2022,0,0,0.022337014152490498
216,Belgium,2023,0,0,0.08762737556400421
217,Luxembourg,2017,0,0,0.046706930332103214
218,Luxembourg,2018,0,0,0.04648271508546644
219,Luxembourg,2019,0,0,0.049391293253229225
220,Luxembourg,2020,0,0,0.0001942599707956843
221,Luxembourg,2021,0,0,1.4887773486267276e-05
222,Luxembourg,2022,0,0,1.4887773486267276e-05
223,Luxembourg,2023,0,0,1.4887773486267276e-05
224,France,2017,1,0,0.12463954268000574
