,country,year,d_civil_war,preds,preds_proba
158,Bolivia,2021,0,0,0.0
159,Bolivia,2022,0,0,0.0
160,Bolivia,2023,0,0,0.0
161,Paraguay,2017,0,0,0.0022830545353837513
162,Paraguay,2018,0,0,0.0022830545353837513
163,Paraguay,2019,0,0,0.0022830545353837513
164,Paraguay,2020,0,0,0.0022830545353837513
165,Paraguay,2021,0,0,0.0022830545353837513
166,Paraguay,2022,0,0,0.0022830545353837513
167,Paraguay,2023,0,0,0.0022830545353837513
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.0022830545353837513
170,Chile,2019,0,0,0.0022830545353837513
171,Chile,2020,0,0,0.0022830545353837513
172,Chile,2021,0,0,0.0022830545353837513
173,Chile,2022,0,0,0.0022830545353837513
174,Chile,2023,0,0,0.0022830545353837513
175,Argentina,2017,0,0,0.0022830545353837513
176,Argentina,2018,0,0,0.0022830545353837513
177,Argentina,2019,0,0,0.0022830545353837513
178,Argentina,2020,0,0,0.0022830545353837513
179,Argentina,2021,0,0,0.0022830545353837513
180,Argentina,2022,0,0,0.0022830545353837513
181,Argentina,2023,0,0,0.0022830545353837513
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.0
188,Uruguay,2023,0,0,0.0
189,United Kingdom,2017,0,0,0.0022830545353837513
190,United Kingdom,2018,0,0,0.0022830545353837513
191,United Kingdom,2019,0,0,0.0022830545353837513
192,United Kingdom,2020,0,0,0.0022830545353837513
193,United Kingdom,2021,0,0,0.0022830545353837513
194,United Kingdom,2022,0,0,0.0022830545353837513
195,United Kingdom,2023,0,0,0.0022830545353837513
196,Ireland,2017,0,0,0.0002089160839160839
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.0022830545353837513
204,Netherlands,2018,0,0,0.0022830545353837513
205,Netherlands,2019,0,0,0.0022830545353837513
206,Netherlands,2020,0,0,0.0022830545353837513
207,Netherlands,2021,0,0,0.0022830545353837513
208,Netherlands,2022,0,0,0.0022830545353837513
209,Netherlands,2023,0,0,0.0022830545353837513
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.002245833333333333
218,Luxembourg,2018,0,0,0.0065375
219,Luxembourg,2019,0,0,0.0065375
220,Luxembourg,2020,0,0,0.007779166666666665
221,Luxembourg,2021,0,0,0.009001388888888887
222,Luxembourg,2022,0,0,0.013552579365079363
223,Luxembourg,2023,0,0,0.056198221223221274
224,France,2017,0,0,0.0022830545353837513
225,France,2018,0,0,0.0022830545353837513
226,France,2019,0,0,0.0022830545353837513
227,France,2020,0,0,0.0022830545353837513
228,France,2021,0,0,0.0022830545353837513
229,France,2022,0,0,0.0022830545353837513
230,France,2023,0,0,0.0022830545353837513
231,Switzerland,2017,0,0,0.0022830545353837513
232,Switzerland,2018,0,0,0.0022830545353837513
233,Switzerland,2019,0,0,0.0022830545353837513
234,Switzerland,2020,0,0,0.0022830545353837513
235,Switzerland,2021,0,0,0.0022830545353837513
236,Switzerland,2022,0,0,0.0022830545353837513
237,Switzerland,2023,0,0,0.0022830545353837513
238,Spain,2017,0,0,0.0022830545353837513
239,Spain,2018,0,0,0.0022830545353837513
240,Spain,2019,0,0,0.0022830545353837513
241,Spain,2020,0,0,0.0022830545353837513
242,Spain,2021,0,0,0.0022830545353837513
243,Spain,2022,0,0,0.0022830545353837513
244,Spain,2023,0,0,0.0022830545353837513
245,Portugal,2017,0,0,0.0022830545353837513
246,Portugal,2018,0,0,0.0022830545353837513
247,Portugal,2019,0,0,0.0022830545353837513
248,Portugal,2020,0,0,0.0022830545353837513
249,Portugal,2021,0,0,0.0022830545353837513
250,Portugal,2022,0,0,0.0022830545353837513
251,Portugal,2023,0,0,0.0022830545353837513
252,Germany,2017,0,0,0.0
253,Germany,2018,0,0,0.0
254,Germany,2019,0,0,4.545454545454546e-05
255,Germany,2020,0,0,4.545454545454546e-05
256,Germany,2021,0,0,0.008301567876567877
257,Germany,2022,0,0,0.0006397042285200181
258,Germany,2023,0,0,0.000377204228520018
259,Poland,2017,0,0,0.0
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.0
264,Poland,2022,0,0,0.0
265,Poland,2023,0,0,0.0
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.0
270,Austria,2021,0,0,0.0
271,Austria,2022,0,0,0.0
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.0
279,Hungary,2023,0,0,0.0
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0
286,Czechia,2023,0,0,0.0
287,Slovakia,2017,0,0,0.0
288,Slovakia,2018,0,0,0.0
289,Slovakia,2019,0,0,0.0
290,Slovakia,2020,0,0,0.0
291,Slovakia,2021,0,0,0.0
292,Slovakia,2022,0,0,0.0
293,Slovakia,2023,0,0,0.0
294,Italy,2017,0,0,0.0022830545353837513
295,Italy,2018,0,0,0.0022830545353837513
296,Italy,2019,0,0,0.0022830545353837513
297,Italy,2020,0,0,0.0022830545353837513
298,Italy,2021,0,0,0.0022830545353837513
299,Italy,2022,0,0,0.0022830545353837513
300,Italy,2023,0,0,0.0022830545353837513
