,country,year,d_civil_conflict,preds_proba
127,Suriname,2018,0,0.0038430004345400455
128,Suriname,2019,0,0.005026168608006899
129,Suriname,2020,0,0.002735188204567391
130,Suriname,2021,0,0.0021973503085325487
131,Suriname,2022,0,0.02641879662407054
132,Suriname,2023,0,0.05708763417434855
133,Ecuador,2017,0,0.0286607823284415
134,Ecuador,2018,0,0.030998435941442117
135,Ecuador,2019,0,0.055169756698897385
136,Ecuador,2020,0,0.06470691480895127
137,Ecuador,2021,0,0.08064185110386932
138,Ecuador,2022,0,0.09258155096148211
139,Ecuador,2023,0,0.11694353258037112
140,Peru,2017,0,0.08565107903028978
141,Peru,2018,0,0.1166658491645053
142,Peru,2019,0,0.14144346516802841
143,Peru,2020,0,0.1591940645362989
144,Peru,2021,0,0.14023220766927727
145,Peru,2022,0,0.24873404098728918
146,Peru,2023,0,0.2598673761261488
147,Brazil,2017,0,0.03318536695282465
148,Brazil,2018,0,0.013300159935477904
149,Brazil,2019,0,0.13718231000931516
150,Brazil,2020,0,0.02948802726720999
151,Brazil,2021,0,0.036339378188614234
152,Brazil,2022,0,0.06019359818024294
153,Brazil,2023,0,0.08733093902800369
154,Bolivia,2017,0,0.0002567168285940629
155,Bolivia,2018,0,0.005715055266313381
156,Bolivia,2019,0,0.026185335608941027
157,Bolivia,2020,0,0.009259375640042483
158,Bolivia,2021,0,0.0013739908123864848
159,Bolivia,2022,0,0.03239144168435707
160,Bolivia,2023,0,0.08553798668659793
161,Paraguay,2017,0,0.0017418680968441162
162,Paraguay,2018,0,0.0015108054157817262
163,Paraguay,2019,0,0.0017512481684863982
164,Paraguay,2020,0,0.004150976037352441
165,Paraguay,2021,0,0.006332177295256898
166,Paraguay,2022,0,0.03841350745724343
167,Paraguay,2023,0,0.06983763459323071
168,Chile,2017,0,0.010145667129150129
169,Chile,2018,0,0.011983600939315997
170,Chile,2019,0,0.061842619391087025
171,Chile,2020,0,0.06263329006556508
172,Chile,2021,0,0.054575085482123746
173,Chile,2022,0,0.07867911840823494
174,Chile,2023,0,0.09528940142135406
175,Argentina,2017,0,0.0013770220007294147
176,Argentina,2018,0,0.002439841952008847
177,Argentina,2019,0,0.004872380069198865
178,Argentina,2020,0,0.0019290584154312655
179,Argentina,2021,0,0.0014522566073873024
180,Argentina,2022,0,0.04233066300507596
181,Argentina,2023,0,0.07064489974850605
182,Uruguay,2017,0,0.00032295638503189634
183,Uruguay,2018,0,0.00032295638503189634
184,Uruguay,2019,0,0.00032295638503189634
185,Uruguay,2020,0,0.00032295638503189634
186,Uruguay,2021,0,0.00032295638503189634
187,Uruguay,2022,0,0.04538658918663863
188,Uruguay,2023,0,0.06510192853734158
189,United Kingdom,2017,0,0.027087766179573893
190,United Kingdom,2018,0,0.032804998370532044
191,United Kingdom,2019,0,0.027315635632744004
192,United Kingdom,2020,0,0.017653245471708334
193,United Kingdom,2021,0,0.021165432736593867
194,United Kingdom,2022,0,0.04725756592534607
195,United Kingdom,2023,0,0.04748288433350786
196,Ireland,2017,0,0.0
197,Ireland,2018,0,0.0
198,Ireland,2019,0,0.0001689888061213411
199,Ireland,2020,0,0.0002887899927985705
200,Ireland,2021,0,0.00011980118667722935
201,Ireland,2022,0,0.04067707070812329
202,Ireland,2023,0,0.06039241005882624
203,Netherlands,2017,0,0.04407931447731924
204,Netherlands,2018,0,0.04772848954380717
205,Netherlands,2019,0,0.00692371279937152
206,Netherlands,2020,0,0.008303788049362472
207,Netherlands,2021,0,0.008641765661605155
208,Netherlands,2022,0,0.02481872384172924
209,Netherlands,2023,0,0.02504404224989103
210,Belgium,2017,0,0.0015208992550920701
211,Belgium,2018,0,0.00503023346221192
212,Belgium,2019,0,0.006235686945877488
213,Belgium,2020,0,0.006235686945877488
214,Belgium,2021,0,0.0038698436601787125
215,Belgium,2022,0,0.02066642319005701
216,Belgium,2023,0,0.019427171945167177
217,Luxembourg,2017,0,0.002232758998062403
218,Luxembourg,2018,0,0.00036614241326290574
219,Luxembourg,2019,0,0.00036614241326290574
220,Luxembourg,2020,0,0.00047880161734379983
221,Luxembourg,2021,0,0.0002887899927985705
222,Luxembourg,2022,0,0.028794771946421414
223,Luxembourg,2023,0,0.028914573133098642
224,France,2017,0,0.006209087193861703
225,France,2018,0,0.011545034298750463
226,France,2019,0,0.00036865745058339003
227,France,2020,0,0.0
228,France,2021,0,0.00011265920408089408
229,France,2022,0,0.014138716225907422
230,France,2023,0,0.013519090603462505
231,Switzerland,2017,0,0.0
232,Switzerland,2018,0,0.0
233,Switzerland,2019,0,0.0
234,Switzerland,2020,0,0.0
235,Switzerland,2021,0,0.0
236,Switzerland,2022,0,0.007886135740281179
237,Switzerland,2023,0,0.02771413429506502
238,Spain,2017,0,0.00848591914493508
239,Spain,2018,0,0.011045082974798831
240,Spain,2019,0,0.01084266875840843
241,Spain,2020,0,0.010919875765400931
242,Spain,2021,0,0.011191425121869316
243,Spain,2022,0,0.03660073711017195
244,Spain,2023,0,0.02105907654126353
245,Portugal,2017,0,0.0002534832091820117
246,Portugal,2018,0,0.0002534832091820117
247,Portugal,2019,0,0.0002534832091820117
248,Portugal,2020,0,0.0002534832091820117
249,Portugal,2021,0,0.0
250,Portugal,2022,0,0.007953731262729715
251,Portugal,2023,0,0.02766907061343266
252,Germany,2017,0,0.011875734015380399
253,Germany,2018,0,0.012155471713299143
254,Germany,2019,0,0.035826438514292666
255,Germany,2020,0,0.036181919119026504
256,Germany,2021,0,0.04740687490843911
257,Germany,2022,0,0.040545613188073135
258,Germany,2023,0,0.05076240821843536
259,Poland,2017,0,0.01568087513347746
260,Poland,2018,0,0.008722840380020922
261,Poland,2019,0,0.008835499584101816
262,Poland,2020,0,0.011588944179078908
263,Poland,2021,0,0.014562335337062759
264,Poland,2022,0,0.030084928814414075
265,Poland,2023,0,0.04916351412574859
266,Austria,2017,0,9.90720570387083e-05
267,Austria,2018,0,9.90720570387083e-05
268,Austria,2019,0,9.90720570387083e-05
269,Austria,2020,0,0.0005919560748926199
270,Austria,2021,0,0.00047929687081172583
271,Austria,2022,0,0.01242115915122805
272,Austria,2023,0,0.04058592965223226
273,Hungary,2017,0,0.004546397584633599
274,Hungary,2018,0,0.00471538639075494
275,Hungary,2019,0,0.004546397584633599
276,Hungary,2020,0,0.00471538639075494
277,Hungary,2021,0,0.004546397584633599
278,Hungary,2022,0,0.009632955308022589
279,Hungary,2023,0,0.020272979719513067
