,country,year,d_protest,preds,preds_proba
136,Burundi,2022,1,0,0.2824524846081091
137,Burundi,2023,0,1,1.0
138,Cambodia (Kampuchea),2017,1,1,1.0
139,Cambodia (Kampuchea),2018,1,1,1.0
140,Cambodia (Kampuchea),2019,1,1,1.0
141,Cambodia (Kampuchea),2020,1,1,1.0
142,Cambodia (Kampuchea),2021,1,1,0.9992570579494799
143,Cambodia (Kampuchea),2022,1,1,0.9992570579494799
144,Cambodia (Kampuchea),2023,1,1,0.9992570579494799
145,Cameroon,2017,1,0,0.0912801514074521
146,Cameroon,2018,1,1,1.0
147,Cameroon,2019,1,1,1.0
148,Cameroon,2020,1,1,1.0
149,Cameroon,2021,1,1,1.0
150,Cameroon,2022,1,1,1.0
151,Cameroon,2023,1,1,1.0
152,Canada,2021,1,0,0.40122193372605075
153,Canada,2022,1,1,0.5309328652068752
154,Canada,2023,1,1,0.5309328652068752
155,Cabo Verde,2020,1,0,0.20433909606403286
156,Cabo Verde,2021,1,0,0.20966896487663214
157,Cabo Verde,2022,1,0,0.2271371110517833
158,Cabo Verde,2023,1,0,0.21556142188453745
159,Central African Republic,2017,1,1,0.9896415704678002
160,Central African Republic,2018,0,1,1.0
161,Central African Republic,2019,1,0,0.1569659304024746
162,Central African Republic,2020,1,1,1.0
163,Central African Republic,2021,1,1,1.0
164,Central African Republic,2022,1,1,1.0
165,Central African Republic,2023,0,1,1.0
166,Chad,2017,0,0,0.0912801514074521
167,Chad,2018,0,0,0.22638397568289598
168,Chad,2019,1,0,0.22251815766403185
169,Chad,2020,0,1,1.0
170,Chad,2021,1,0,0.3530342395107392
171,Chad,2022,1,1,1.0
172,Chad,2023,1,1,1.0
173,Chile,2018,1,1,0.7866339959866706
174,Chile,2019,1,1,0.8745259081392059
175,Chile,2020,1,1,0.8745259081392059
176,Chile,2021,1,1,0.8745259081392059
177,Chile,2022,1,1,0.8745259081392059
178,Chile,2023,1,1,0.8745259081392059
179,China,2018,1,1,0.6701438142446707
180,China,2019,1,1,0.8745259081392059
181,China,2020,1,1,0.8745259081392059
182,China,2021,1,1,0.8745259081392059
183,China,2022,1,1,0.8745259081392059
184,China,2023,1,1,0.8745259081392059
185,Colombia,2018,1,1,0.788268468497815
186,Colombia,2019,1,1,0.8700753314746622
187,Colombia,2020,1,1,0.8700753314746622
188,Colombia,2021,1,1,0.8700753314746622
189,Colombia,2022,1,1,0.8700753314746622
190,Colombia,2023,1,1,0.8700753314746622
191,Comoros,2020,0,0,0.20433909606403286
192,Comoros,2021,0,0,0.11247827403976356
193,Comoros,2022,0,0,0.10573349578681293
194,Comoros,2023,0,0,0.10424761168577283
195,Costa Rica,2018,1,1,0.6824644574189151
196,Costa Rica,2019,1,1,0.7664819873909766
197,Costa Rica,2020,1,1,0.7664819873909766
198,Costa Rica,2021,1,1,0.7664819873909766
199,Costa Rica,2022,1,1,0.7674725767916701
200,Costa Rica,2023,1,1,0.8700753314746622
201,Croatia,2018,1,0,0.09984473664221946
202,Croatia,2019,1,1,0.9751926040143852
203,Croatia,2020,1,1,0.9751926040143852
204,Croatia,2021,1,1,0.9739189890706365
205,Croatia,2022,1,1,0.9709472208685562
206,Croatia,2023,1,1,0.9682491449251345
207,Cuba,2018,0,1,0.7182476848888395
208,Cuba,2019,0,1,0.6948436681527274
209,Cuba,2020,1,1,0.6933915541448927
210,Cuba,2021,1,1,0.9766541427603442
211,Cuba,2022,1,1,0.9766541427603442
212,Cuba,2023,1,1,0.9766541427603442
213,Cyprus,2018,1,0,0.2970485669312946
214,Cyprus,2019,1,1,0.9928037432757301
215,Cyprus,2020,1,1,0.9935466853262501
216,Cyprus,2021,1,1,0.9935466853262501
217,Cyprus,2022,1,1,0.9935466853262501
218,Cyprus,2023,1,1,0.9935466853262501
219,Czechia,2020,1,0,0.1607542619080073
220,Czechia,2021,1,1,0.9751926040143852
221,Czechia,2022,1,1,0.9739189890706365
222,Czechia,2023,1,1,0.9709472208685562
223,DR Congo (Zaire),2017,1,1,0.9896415704678002
224,DR Congo (Zaire),2018,1,1,1.0
225,DR Congo (Zaire),2019,1,1,1.0
226,DR Congo (Zaire),2020,1,1,1.0
227,DR Congo (Zaire),2021,1,1,1.0
228,DR Congo (Zaire),2022,1,1,1.0
229,DR Congo (Zaire),2023,1,1,1.0
230,Denmark,2020,1,1,0.7866339959866706
231,Denmark,2021,1,1,0.8745259081392059
232,Denmark,2022,1,1,0.8745259081392059
233,Denmark,2023,1,1,0.8745259081392059
234,Djibouti,2017,0,0,0.098883339586731
235,Djibouti,2018,0,0,0.09913480514280279
236,Djibouti,2019,0,0,0.10609930753821163
237,Djibouti,2020,1,0,0.1199235508201072
238,Djibouti,2021,0,1,0.710082576296252
239,Djibouti,2022,0,0,0.20141583022007295
240,Djibouti,2023,0,0,0.15860065112419297
241,Dominican Republic,2018,1,1,0.6824644574189151
242,Dominican Republic,2019,0,1,0.7628911008134631
243,Dominican Republic,2020,1,1,0.5841450258896285
244,Dominican Republic,2021,1,1,0.7643769849145032
245,Dominican Republic,2022,1,1,0.7643769849145032
246,Dominican Republic,2023,1,1,0.7664819873909766
247,East Timor,2020,0,0,0.0006810302129767211
248,East Timor,2021,0,0,0.000978207033184745
249,East Timor,2022,0,0,0.0019687964338781574
250,East Timor,2023,0,0,0.07780990326768668
251,Ecuador,2018,1,1,0.788268468497815
252,Ecuador,2019,1,1,0.8700753314746622
253,Ecuador,2020,1,1,0.8700753314746622
254,Ecuador,2021,1,1,0.8700753314746622
255,Ecuador,2022,1,1,0.8700753314746622
256,Ecuador,2023,1,1,0.8700753314746622
257,Egypt,2017,1,1,0.999575461685417
258,Egypt,2018,1,1,0.999575461685417
259,Egypt,2019,1,1,0.999575461685417
260,Egypt,2020,1,1,0.999575461685417
261,Egypt,2021,1,1,0.999575461685417
262,Egypt,2022,1,1,0.999575461685417
263,Egypt,2023,1,1,0.999575461685417
264,El Salvador,2018,1,1,0.6824644574189151
265,El Salvador,2019,1,1,0.7664819873909766
266,El Salvador,2020,1,1,0.7664819873909766
267,El Salvador,2021,1,1,0.7664819873909766
268,El Salvador,2022,1,1,0.7674725767916701
269,El Salvador,2023,1,1,0.8700753314746622
270,Equatorial Guinea,2017,0,0,0.06337189114918336
271,Equatorial Guinea,2018,0,0,0.04035113404595965
272,Equatorial Guinea,2019,0,0,0.04855404843386659
273,Equatorial Guinea,2020,0,0,0.06542784700679444
274,Equatorial Guinea,2021,0,0,0.16407055781909158
275,Equatorial Guinea,2022,0,0,0.09866668599296873
276,Equatorial Guinea,2023,0,0,0.007070601925728226
277,Eritrea,2017,0,0,0.0789577814313414
278,Eritrea,2018,0,0,0.07853854984569081
279,Eritrea,2019,0,0,0.07863869734554113
280,Eritrea,2020,0,0,0.13665487607013713
281,Eritrea,2021,0,0,0.13212351919851278
282,Eritrea,2022,0,0,0.10006744583486142
283,Eritrea,2023,0,0,0.09163918101729496
284,Estonia,2020,1,0,0.10006744583486142
285,Estonia,2021,1,1,0.9709472208685562
286,Estonia,2022,1,1,0.9682491449251345
287,Estonia,2023,1,1,0.9680368757678429
288,Ethiopia,2017,1,1,0.7397419744504223
289,Ethiopia,2018,1,1,0.7590702440015744
290,Ethiopia,2019,1,1,0.7699171979391675
291,Ethiopia,2020,1,1,0.7783619725800783
292,Ethiopia,2021,1,1,0.7757710559847043
293,Ethiopia,2022,1,1,0.7757710559847043
294,Ethiopia,2023,1,1,0.7759939385998603
295,Fiji,2021,0,0,0.065415422620868
296,Fiji,2022,0,0,0.07702048501102236
297,Fiji,2023,0,0,0.15221560989430713
298,Finland,2020,1,1,0.5603752202272532
299,Finland,2021,1,1,0.999575461685417
300,Finland,2022,1,1,0.999575461685417
301,Finland,2023,1,1,0.9969751645085968
302,France,2020,1,1,0.7866339959866706
