,country,year,d_civil_conflict,preds,preds_proba
135,Ecuador,2019,0,0,0.21161006478395689
136,Ecuador,2020,0,0,0.25833938340464957
137,Ecuador,2021,0,0,0.31918101824331263
138,Ecuador,2022,0,0,0.3206568146113824
139,Ecuador,2023,0,0,0.3462943172286072
140,Peru,2017,0,0,0.22345696316583583
141,Peru,2018,0,0,0.45309020958784735
142,Peru,2019,0,0,0.44536452351892203
143,Peru,2020,0,0,0.4379228649628505
144,Peru,2021,0,0,0.4479866001380269
145,Peru,2022,0,0,0.442537504661836
146,Peru,2023,0,0,0.4324919121496759
147,Brazil,2017,0,0,0.00031840373593716834
148,Brazil,2018,0,0,0.00031840373593716834
149,Brazil,2019,0,0,0.00031840373593716834
150,Brazil,2020,0,0,0.00031840373593716834
151,Brazil,2021,0,0,0.00031840373593716834
152,Brazil,2022,0,0,0.00031840373593716834
153,Brazil,2023,0,0,0.00031840373593716834
154,Bolivia,2017,0,0,0.0
155,Bolivia,2018,0,0,0.023997028231797918
156,Bolivia,2019,0,0,0.01285289747399703
157,Bolivia,2020,0,0,0.009925352013019174
158,Bolivia,2021,0,0,0.0003714710252600297
159,Bolivia,2022,0,0,0.0014858841010401188
160,Bolivia,2023,0,0,0.002228826151560178
161,Paraguay,2017,0,0,0.0032872237552772467
162,Paraguay,2018,0,0,0.0040796952758319766
163,Paraguay,2019,0,0,0.0047731078563173655
164,Paraguay,2020,0,0,0.013592701668481758
165,Paraguay,2021,0,0,0.01982633925427387
166,Paraguay,2022,0,0,0.021064576005140636
167,Paraguay,2023,0,0,0.06571938050392731
168,Chile,2017,0,0,0.006081511356399914
169,Chile,2018,0,0,0.014161799897312527
170,Chile,2019,0,0,0.2120881759811923
171,Chile,2020,0,0,0.20534391314480466
172,Chile,2021,0,0,0.19396165993491402
173,Chile,2022,0,0,0.17954858415482486
174,Chile,2023,0,0,0.16537082696072294
175,Argentina,2017,0,0,0.004649420251203312
176,Argentina,2018,0,0,0.008970870635060827
177,Argentina,2019,0,0,0.014109911881085731
178,Argentina,2020,0,0,0.0
179,Argentina,2021,0,0,0.0
180,Argentina,2022,0,0,0.0
181,Argentina,2023,0,0,0.0
182,Uruguay,2017,0,0,0.001419844807660558
183,Uruguay,2018,0,0,0.001419844807660558
184,Uruguay,2019,0,0,0.001419844807660558
185,Uruguay,2020,0,0,0.001419844807660558
186,Uruguay,2021,0,0,0.001419844807660558
187,Uruguay,2022,0,0,0.001419844807660558
188,Uruguay,2023,0,0,0.001419844807660558
189,United Kingdom,2017,0,0,0.0418064105285502
190,United Kingdom,2018,0,0,0.0418064105285502
191,United Kingdom,2019,0,0,0.04304464727941697
192,United Kingdom,2020,0,0,0.05834925352013019
193,United Kingdom,2021,0,0,0.0737902266134064
194,United Kingdom,2022,0,0,0.07621684902516998
195,United Kingdom,2023,0,0,0.07720743842586339
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0007429420505200594
199,Ireland,2020,0,0,0.0007429420505200594
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.00713224368499257
204,Netherlands,2018,0,0,0.016047548291233286
205,Netherlands,2019,0,0,0.030439397155593295
206,Netherlands,2020,0,0,0.036506757234840446
207,Netherlands,2021,0,0,0.03799264133588057
208,Netherlands,2022,0,0,0.051860892945588336
209,Netherlands,2023,0,0,0.05285148234628176
210,Belgium,2017,0,0,0.006686478454680535
211,Belgium,2018,0,0,0.022114908370480434
212,Belgium,2019,0,0,0.027414561664190196
213,Belgium,2020,0,0,0.027414561664190196
214,Belgium,2021,0,0,0.017013372956909363
215,Belgium,2022,0,0,0.0162704309063893
216,Belgium,2023,0,0,0.010822189202575532
217,Luxembourg,2017,0,0,0.0016097077761267954
218,Luxembourg,2018,0,0,0.0016097077761267954
219,Luxembourg,2019,0,0,0.0016097077761267954
220,Luxembourg,2020,0,0,0.0021050024764735016
221,Luxembourg,2021,0,0,0.0007429420505200594
222,Luxembourg,2022,0,0,0.0
223,Luxembourg,2023,0,0,0.0
224,France,2017,0,0,0.023289730329106254
225,France,2018,0,0,0.025766203830839787
226,France,2019,0,0,0.0007429420505200594
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0004952947003467063
229,France,2022,0,0,0.005819712729073799
230,France,2023,0,0,0.0030955918771669137
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.0
237,Switzerland,2023,0,0,0.0004952947003467063
238,Spain,2017,0,0,0.03264065264436734
239,Spain,2018,0,0,0.037814713353346324
240,Spain,2019,0,0,0.04426592682536218
241,Spain,2020,0,0,0.04460535955706831
242,Spain,2021,0,0,0.04460535955706831
243,Spain,2022,0,0,0.04362495891099159
244,Spain,2023,0,0,0.04000586049248753
245,Portugal,2017,0,0,0.001114413075780089
246,Portugal,2018,0,0,0.001114413075780089
247,Portugal,2019,0,0,0.001114413075780089
