,country,year,d_protest,preds,preds_proba
117,Brazil,2023,1,1,0.5882013082787421
118,Bulgaria,2018,1,1,0.669106440511308
119,Bulgaria,2019,1,1,0.6713188298918389
120,Bulgaria,2020,1,1,0.669106440511308
121,Bulgaria,2021,1,1,0.669106440511308
122,Bulgaria,2022,1,1,0.6602568829891841
123,Bulgaria,2023,1,1,0.6420046705998034
124,Burkina Faso,2017,1,1,0.8773906096361849
125,Burkina Faso,2018,1,1,0.8450897246804326
126,Burkina Faso,2019,1,1,0.8307460668633236
127,Burkina Faso,2020,1,1,0.824993854473943
128,Burkina Faso,2021,1,1,0.8154840918668353
129,Burkina Faso,2022,1,1,0.7020745540103946
130,Burkina Faso,2023,1,1,0.6684673058013765
131,Burundi,2017,1,1,0.6343289085545722
132,Burundi,2018,1,1,0.5000526759376317
133,Burundi,2019,1,1,0.5942109144542772
134,Burundi,2020,0,1,0.5982300884955754
135,Burundi,2021,0,1,0.576369574378424
136,Burundi,2022,1,1,0.5474610198061526
137,Burundi,2023,0,1,0.5323430257058576
138,Cambodia (Kampuchea),2017,1,1,0.9557469447956173
139,Cambodia (Kampuchea),2018,1,1,0.9603297513695744
140,Cambodia (Kampuchea),2019,1,1,0.9619943109987358
141,Cambodia (Kampuchea),2020,1,1,0.953771597134429
142,Cambodia (Kampuchea),2021,1,1,0.940523598820059
143,Cambodia (Kampuchea),2022,1,1,0.9300147492625369
144,Cambodia (Kampuchea),2023,1,1,0.9077802359882007
145,Cameroon,2017,1,0,0.03984934681837337
146,Cameroon,2018,1,0,0.10304993678887485
147,Cameroon,2019,1,0,0.07441793088916984
148,Cameroon,2020,1,0,0.09106616097766541
149,Cameroon,2021,1,0,0.07441793088916984
150,Cameroon,2022,1,0,0.0975189633375474
151,Cameroon,2023,1,0,0.09914138221660344
152,Canada,2021,1,1,0.557857334406007
153,Canada,2022,1,1,0.5510358004827032
154,Canada,2023,1,1,0.5424812282113168
155,Cabo Verde,2020,1,0,0.32666280376457363
156,Cabo Verde,2021,1,0,0.3109864447253827
157,Cabo Verde,2022,1,0,0.25339057451889313
158,Cabo Verde,2023,1,0,0.2201309874982442
159,Central African Republic,2017,1,1,0.6528093833403568
160,Central African Republic,2018,0,0,0.40489008287680844
161,Central African Republic,2019,1,0,0.4450765556960246
162,Central African Republic,2020,1,0,0.44636711616800107
163,Central African Republic,2021,1,0,0.44857950554853204
164,Central African Republic,2022,1,0,0.4364166315493749
165,Central African Republic,2023,0,0,0.4191599943812332
166,Chad,2017,0,0,0.023567214496418035
167,Chad,2018,0,0,0.09127806190859288
168,Chad,2019,1,0,0.11955977282304715
169,Chad,2020,0,0,0.018699957859249897
170,Chad,2021,1,0,0.03103402865571007
171,Chad,2022,1,0,0.09762024479944832
172,Chad,2023,1,0,0.09983263417997928
173,Chile,2018,1,1,0.5795090602612728
174,Chile,2019,1,1,0.5798040455120103
175,Chile,2020,1,1,0.5750842815002108
176,Chile,2021,1,1,0.561809945217025
177,Chile,2022,1,1,0.5347081753055205
178,Chile,2023,1,1,0.5167140750105352
179,China,2018,1,1,0.9048874490799269
180,China,2019,1,1,0.9070998384604579
181,China,2020,1,1,0.902675059699396
182,China,2021,1,1,0.902675059699396
183,China,2022,1,1,0.8910231422952661
184,China,2023,1,1,0.8670854403708386
185,Colombia,2018,1,1,0.5209623893805311
186,Colombia,2019,1,1,0.5169800884955752
187,Colombia,2020,1,1,0.5184734513274337
188,Colombia,2021,1,1,0.5131452802359882
189,Colombia,2022,1,1,0.5036952170248631
190,Colombia,2023,1,0,0.49980509903076287
191,Comoros,2020,0,0,0.12960475488130355
192,Comoros,2021,0,0,0.12960475488130355
193,Comoros,2022,0,0,0.13181714426183452
194,Comoros,2023,0,0,0.13152215901109707
195,Costa Rica,2018,1,0,0.4377133375474084
196,Costa Rica,2019,1,0,0.44695796460177
197,Costa Rica,2020,1,0,0.43259850400337135
198,Costa Rica,2021,1,0,0.43974136114622847
199,Costa Rica,2022,1,0,0.44195375052675945
200,Costa Rica,2023,1,0,0.442875579435314
201,Croatia,2018,1,1,0.5617019595448798
202,Croatia,2019,1,1,0.5617019595448798
203,Croatia,2020,1,1,0.559932048040455
204,Croatia,2021,1,1,0.5577196586599241
205,Croatia,2022,1,1,0.5549172987779183
206,Croatia,2023,1,1,0.5424541719342604
207,Cuba,2018,0,1,0.7751536381514257
208,Cuba,2019,0,1,0.7618793018682398
209,Cuba,2020,1,1,0.7616422601488972
210,Cuba,2021,1,1,0.7704918176710212
211,Cuba,2022,1,1,0.7528664489394578
212,Cuba,2023,1,1,0.719148581261413
213,Cyprus,2018,1,1,0.7716972187104931
214,Cyprus,2019,1,1,0.768673619890434
215,Cyprus,2020,1,1,0.7508638853771598
216,Cyprus,2021,1,1,0.7333491361146228
217,Cyprus,2022,1,1,0.7400969237252424
218,Cyprus,2023,1,1,0.7246101980615256
219,Czechia,2020,1,1,0.6416412066301449
220,Czechia,2021,1,1,0.6411987287540387
