,country,year,d_osv,preds,preds_proba
133,Ecuador,2017,0,0,0.11231563421828909
134,Ecuador,2018,0,0,0.17503687315634217
135,Ecuador,2019,0,0,0.20222819216182047
136,Ecuador,2020,0,0,0.21959544879898865
137,Ecuador,2021,0,0,0.2128845343447113
138,Ecuador,2022,1,0,0.24566477033291192
139,Ecuador,2023,0,0,0.21067214496418035
140,Peru,2017,0,0,0.49376843657817115
141,Peru,2018,0,0,0.33307522123893807
142,Peru,2019,1,0,0.17735988200589975
143,Peru,2020,1,0,0.1672197640117994
144,Peru,2021,0,0,0.23362831858407085
145,Peru,2022,1,0,0.2517330383480826
146,Peru,2023,0,0,0.3309734513274336
147,Brazil,2017,1,0,0.49952064896755166
148,Brazil,2018,1,1,0.57297197640118
149,Brazil,2019,1,0,0.4487831858407078
150,Brazil,2020,1,0,0.4368415507796036
151,Brazil,2021,1,0,0.4503423935946061
152,Brazil,2022,1,0,0.46258428150021075
153,Brazil,2023,1,0,0.43216392751790983
154,Bolivia,2017,0,0,0.1187684365781711
155,Bolivia,2018,0,0,0.13200589970501475
156,Bolivia,2019,0,0,0.1456489675516224
157,Bolivia,2020,0,0,0.21709070796460178
158,Bolivia,2021,0,0,0.256452802359882
159,Bolivia,2022,0,0,0.3559734513274335
160,Bolivia,2023,0,0,0.30855457227138644
161,Paraguay,2017,0,0,0.22398598820059004
162,Paraguay,2018,1,0,0.2182706489675516
163,Paraguay,2019,0,0,0.22040929203539827
164,Paraguay,2020,1,0,0.29634955752212394
165,Paraguay,2021,1,0,0.24638643067846613
166,Paraguay,2022,0,0,0.18574852507374628
167,Paraguay,2023,0,0,0.05921828908554573
168,Chile,2017,0,0,0.12168141592920353
169,Chile,2018,0,0,0.18803729456384322
170,Chile,2019,0,0,0.14144542772861354
171,Chile,2020,0,0,0.1407079646017699
172,Chile,2021,0,0,0.2847292456805732
173,Chile,2022,0,0,0.34486936367467336
174,Chile,2023,0,0,0.33429203539823
175,Argentina,2017,0,0,0.09144542772861355
176,Argentina,2018,0,0,0.05283923303834809
177,Argentina,2019,0,0,0.04885693215339233
178,Argentina,2020,0,0,0.06047197640117994
179,Argentina,2021,0,0,0.09155604719764011
180,Argentina,2022,0,0,0.08289085545722714
181,Argentina,2023,0,0,0.09188790560471977
182,Uruguay,2017,0,0,0.2532448377581121
183,Uruguay,2018,0,0,0.2560103244837758
184,Uruguay,2019,0,0,0.2608038348082596
185,Uruguay,2020,0,0,0.26854719764011803
186,Uruguay,2021,0,0,0.2975663716814159
187,Uruguay,2022,0,0,0.29185103244837757
188,Uruguay,2023,0,0,0.2960176991150443
189,United Kingdom,2017,0,0,0.14410029498525073
190,United Kingdom,2018,0,0,0.15892330383480824
191,United Kingdom,2019,1,0,0.27029603876949015
192,United Kingdom,2020,0,0,0.24736093552465238
193,United Kingdom,2021,0,0,0.24791403286978506
194,United Kingdom,2022,0,0,0.338437631689844
195,United Kingdom,2023,0,0,0.34374736620311835
196,Ireland,2017,0,0,0.054883059418457655
197,Ireland,2018,0,0,0.15530446691951122
198,Ireland,2019,0,0,0.1133902233459755
199,Ireland,2020,0,0,0.001769911504424779
200,Ireland,2021,0,0,0.10966603455541504
201,Ireland,2022,0,0,0.14639169827222925
202,Ireland,2023,0,0,0.23090497260851253
203,Netherlands,2017,0,0,0.0036873156342182886
204,Netherlands,2018,0,0,0.0014749262536873156
205,Netherlands,2019,0,0,0.013458702064896754
206,Netherlands,2020,0,0,0.096976401179941
207,Netherlands,2021,0,0,0.10151179941002947
208,Netherlands,2022,0,0,0.1457964601769911
209,Netherlands,2023,0,0,0.1558997050147492
210,Belgium,2017,0,0,0.18514011799410046
211,Belgium,2018,1,0,0.06613990729034977
212,Belgium,2019,0,0,0.09357880320269699
213,Belgium,2020,0,0,0.06320058997050147
214,Belgium,2021,0,0,0.07426253687315633
