,country,year,d_terror,preds,preds_proba
586,India,2019,1,1,0.9961685130775455
587,India,2020,1,1,0.9986574511306429
588,Bhutan,2017,0,0,0.12248256060328626
589,Bhutan,2018,0,0,0.1256714941740975
590,Bhutan,2019,0,0,0.1321929393109556
591,Bhutan,2020,0,0,0.12801473657361154
592,Pakistan,2017,1,1,0.9664963270641187
593,Pakistan,2018,1,1,0.9744262246868846
594,Pakistan,2019,1,1,0.9803515888896076
595,Pakistan,2020,1,1,0.9621251510900309
596,Bangladesh,2017,1,1,0.9341319653514852
597,Bangladesh,2018,1,1,0.9290716477494587
598,Bangladesh,2019,1,1,0.9200076188796648
599,Bangladesh,2020,0,1,0.9040850531002538
600,Myanmar (Burma),2017,1,1,0.8198908916799224
601,Myanmar (Burma),2018,1,1,0.8125236621094416
602,Myanmar (Burma),2019,1,1,0.822270814760944
603,Myanmar (Burma),2020,1,1,0.8218283368848378
604,Sri Lanka,2017,1,1,0.5209260638043093
605,Sri Lanka,2018,1,1,0.5635125857191029
606,Sri Lanka,2019,1,1,0.5049703907071026
607,Sri Lanka,2020,0,1,0.5042102141783116
608,Maldives,2017,1,0,0.26774755062146
609,Maldives,2018,0,0,0.22409002196446648
610,Maldives,2019,0,0,0.2786410021696274
611,Maldives,2020,0,0,0.2797471968598929
612,Nepal,2017,1,1,0.7206185997169415
613,Nepal,2018,0,1,0.7020827560563373
614,Nepal,2019,1,1,0.6781008035480758
615,Nepal,2020,1,1,0.6577269976022883
616,Thailand,2017,1,1,0.9903168423217564
617,Thailand,2018,1,1,0.9903168423217564
618,Thailand,2019,1,1,0.9663950406865244
619,Thailand,2020,1,1,0.9754061377507186
620,Cambodia (Kampuchea),2017,0,0,0.12163985120619687
621,Cambodia (Kampuchea),2018,0,0,0.12540809623550386
622,Cambodia (Kampuchea),2019,0,0,0.12204419993669839
623,Cambodia (Kampuchea),2020,0,0,0.13012047469438903
624,Laos,2017,1,0,0.14144834266439169
625,Laos,2018,0,0,0.12927764708661643
626,Laos,2019,0,0,0.15236416569979291
627,Laos,2020,0,0,0.14431082278743418
628,Vietnam,2017,0,0,0.15544930136997182
629,Vietnam,2018,0,0,0.17818469036642282
630,Vietnam,2019,0,0,0.20850910522094543
631,Vietnam,2020,0,0,0.18888422313453973
632,Malaysia,2017,0,1,0.7202558750790788
633,Malaysia,2018,1,1,0.7252116790067724
634,Malaysia,2019,0,1,0.724503626611773
635,Malaysia,2020,1,1,0.7081205996092772
636,Singapore,2017,0,0,0.08437948349093072
637,Singapore,2018,0,0,0.08521110639113771
638,Singapore,2019,0,0,0.09708258668075957
639,Singapore,2020,0,0,0.09306006053433961
640,Philippines,2017,1,1,0.94658492523777
641,Philippines,2018,1,1,0.9432048859064033
642,Philippines,2019,1,1,0.9553765590314831
643,Philippines,2020,1,1,0.9580103559130675
644,Indonesia,2017,1,1,0.8417609930121702
645,Indonesia,2018,1,1,0.8411036061126138
646,Indonesia,2019,1,1,0.8436964594244937
647,Indonesia,2020,1,1,0.8437166518672524
648,East Timor,2017,0,0,0.2537801105874568
649,East Timor,2018,0,0,0.26038439617404324
650,East Timor,2019,0,0,0.2666934018193321
651,East Timor,2020,0,0,0.2646363438330706
652,Australia,2017,1,0,0.2559764589487766
653,Australia,2018,1,0,0.28540749311282937
654,Australia,2019,0,0,0.2921596953803751
655,Australia,2020,0,0,0.31051176328286284
656,Papua New Guinea,2017,0,0,0.13541219756030126
657,Papua New Guinea,2018,0,0,0.13541219756030126
658,Papua New Guinea,2019,0,0,0.13263682642209826
659,Papua New Guinea,2020,0,0,0.1374472446174722
660,New Zealand,2017,0,0,0.017399645896924838
661,New Zealand,2018,0,0,0.01770840793135059
662,New Zealand,2019,1,0,0.023837142765837635
663,New Zealand,2020,0,0,0.02141861164192744
664,Solomon Islands,2017,0,0,0.02574699010091247
665,Solomon Islands,2018,0,0,0.02581722468442139
666,Solomon Islands,2019,0,0,0.02581722468442139
667,Solomon Islands,2020,0,0,0.030678688080091783
668,Fiji,2017,0,0,0.009827042441418112
669,Fiji,2018,0,0,0.00570227708877665
670,Fiji,2019,0,0,0.007472188593201429
671,Fiji,2020,0,0,0.006536527646478534
