,country,year,d_terror,preds,preds_proba
135,Switzerland,2020,1,0,0.025770660253205277
136,Spain,2017,1,0,0.22108129141497562
137,Spain,2018,0,0,0.23550180684569896
138,Spain,2019,0,0,0.24036892486197864
139,Spain,2020,0,0,0.25295631723374823
140,Portugal,2017,0,0,0.05950838596636082
141,Portugal,2018,0,0,0.058468951361483654
142,Portugal,2019,0,0,0.08046281223612307
143,Portugal,2020,0,0,0.08823811045546455
144,Germany,2017,1,1,0.5527361983000713
145,Germany,2018,0,1,0.5355168007124157
146,Germany,2019,1,1,0.5538990370055481
147,Germany,2020,1,0,0.48451302511708255
148,Poland,2017,0,0,0.11283750316751538
149,Poland,2018,0,0,0.11412490686554369
150,Poland,2019,0,0,0.07686413627812189
151,Poland,2020,0,0,0.07967201218488647
152,Austria,2017,1,0,0.17934552627856842
153,Austria,2018,1,0,0.16865642911866247
154,Austria,2019,0,0,0.1717835663318585
155,Austria,2020,1,0,0.1818729345462559
156,Hungary,2017,0,0,0.06568400800594829
157,Hungary,2018,0,0,0.09152822800871137
158,Hungary,2019,0,0,0.11803185906393876
159,Hungary,2020,0,0,0.09472417392876413
160,Czechia,2017,0,0,0.22897168504994575
161,Czechia,2018,0,0,0.2547252559192885
162,Czechia,2019,0,0,0.25539635433920976
163,Czechia,2020,0,0,0.19344827864319603
164,Slovakia,2017,0,0,0.04112167155268812
165,Slovakia,2018,0,0,0.052198283260931067
166,Slovakia,2019,0,0,0.04876388610640709
167,Slovakia,2020,0,0,0.04353649083697643
168,Italy,2017,0,0,0.3102814330792106
169,Italy,2018,0,0,0.307859421548638
170,Italy,2019,0,0,0.27200847428982455
171,Italy,2020,0,0,0.27817372251992234
172,Malta,2017,1,0,0.03504605039010706
173,Malta,2018,0,0,0.032985644894952836
174,Malta,2019,0,0,0.02907709032268145
175,Malta,2020,0,0,0.0331776745091584
176,Albania,2017,0,0,0.25065914838008124
177,Albania,2018,0,0,0.26945710885810215
178,Albania,2019,0,0,0.24595496048446755
179,Albania,2020,0,0,0.26573627201309
180,Serbia,2017,0,0,0.07844368244936113
181,Serbia,2018,0,0,0.09500061069174918
