,country,year,d_ns,preds,preds_proba
135,Ecuador,2019,0,0,0.0043448099472952455
136,Ecuador,2020,0,0,0.0028659938478608708
137,Ecuador,2021,1,0,0.07205726684263708
138,Ecuador,2022,1,1,0.5902942099836438
139,Ecuador,2023,1,1,0.5604070617556884
140,Peru,2017,0,0,0.13206616057860376
141,Peru,2018,0,0,0.15049181997474115
142,Peru,2019,0,0,0.15884110995995673
143,Peru,2020,0,0,0.15506543267000047
144,Peru,2021,0,0,0.18847012567639795
145,Peru,2022,0,0,0.14234479660974791
146,Peru,2023,0,0,0.14551337317518548
147,Brazil,2017,1,0,0.4625216549353032
148,Brazil,2018,1,0,0.4625216549353032
149,Brazil,2019,1,0,0.4625216549353032
150,Brazil,2020,1,0,0.4625216549353032
151,Brazil,2021,1,0,0.4625216549353032
152,Brazil,2022,1,0,0.4625216549353032
153,Brazil,2023,1,0,0.4625216549353032
154,Bolivia,2017,0,0,0.023769526795666
155,Bolivia,2018,0,0,0.11330065178234747
156,Bolivia,2019,0,0,0.1431182680922511
157,Bolivia,2020,0,0,0.051871409133835075
158,Bolivia,2021,1,0,0.062418021850546034
159,Bolivia,2022,0,0,0.4625216549353032
160,Bolivia,2023,1,0,0.03489107367092049
161,Paraguay,2017,0,0,0.4625216549353032
162,Paraguay,2018,0,0,0.03489107367092049
163,Paraguay,2019,0,0,0.005716929438924298
164,Paraguay,2020,0,0,0.01673648391205181
165,Paraguay,2021,0,0,0.016563086793812014
166,Paraguay,2022,0,0,0.021970102373466294
167,Paraguay,2023,0,0,0.06758787209075434
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.0036955452004251797
170,Chile,2019,0,0,0.0036955452004251797
171,Chile,2020,0,0,0.0036955452004251797
172,Chile,2021,0,0,0.0036955452004251797
173,Chile,2022,0,0,0.17820978524601255
174,Chile,2023,0,0,0.0036955452004251797
175,Argentina,2017,0,0,0.17820978524601255
176,Argentina,2018,0,0,0.17820978524601255
177,Argentina,2019,0,0,0.17820978524601255
178,Argentina,2020,0,0,0.17820978524601255
179,Argentina,2021,0,0,0.17820978524601255
180,Argentina,2022,0,0,0.17820978524601255
181,Argentina,2023,0,0,0.17820978524601255
182,Uruguay,2017,0,0,0.12020016055474443
183,Uruguay,2018,0,0,0.12020016055474443
184,Uruguay,2019,0,0,0.12020016055474443
185,Uruguay,2020,0,0,0.12020016055474443
186,Uruguay,2021,0,0,0.1546869758085398
187,Uruguay,2022,0,0,0.1402643606390757
188,Uruguay,2023,0,0,0.20364066267975572
189,United Kingdom,2017,0,0,0.0036955452004251797
190,United Kingdom,2018,0,0,0.0036955452004251797
191,United Kingdom,2019,0,0,0.0036955452004251797
192,United Kingdom,2020,0,0,0.0036955452004251797
193,United Kingdom,2021,0,0,0.0036955452004251797
194,United Kingdom,2022,0,0,0.0036955452004251797
195,United Kingdom,2023,0,0,0.0036955452004251797
196,Ireland,2017,0,0,0.0005303442395120006
197,Ireland,2018,0,0,0.0005303442395120006
198,Ireland,2019,0,0,0.0005303442395120006
199,Ireland,2020,0,0,0.0005303442395120006
200,Ireland,2021,0,0,0.0005303442395120006
201,Ireland,2022,0,0,0.0005303442395120006
202,Ireland,2023,0,0,0.0005303442395120006
203,Netherlands,2017,0,0,0.0036955452004251797
204,Netherlands,2018,0,0,0.0036955452004251797
205,Netherlands,2019,0,0,0.0036955452004251797
206,Netherlands,2020,0,0,0.0036955452004251797
207,Netherlands,2021,0,0,0.0036955452004251797
208,Netherlands,2022,0,0,0.0036955452004251797
209,Netherlands,2023,0,0,0.0036955452004251797
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.00018680757893231744
218,Luxembourg,2018,0,0,0.00018680757893231744
219,Luxembourg,2019,0,0,0.00018680757893231744
220,Luxembourg,2020,0,0,0.00018680757893231744
221,Luxembourg,2021,0,0,0.0002989152022507031
222,Luxembourg,2022,0,0,0.0002989152022507031
223,Luxembourg,2023,0,0,0.0002989152022507031
224,France,2017,0,0,0.0036955452004251797
225,France,2018,0,0,0.0036955452004251797
226,France,2019,0,0,0.0036955452004251797
227,France,2020,0,0,0.0036955452004251797
228,France,2021,0,0,0.0036955452004251797
229,France,2022,0,0,0.0036955452004251797
230,France,2023,1,0,0.0036955452004251797
231,Switzerland,2017,0,0,0.0036955452004251797
232,Switzerland,2018,0,0,0.0036955452004251797
233,Switzerland,2019,0,0,0.0036955452004251797
234,Switzerland,2020,0,0,0.0036955452004251797
235,Switzerland,2021,0,0,0.0036955452004251797
236,Switzerland,2022,0,0,0.0036955452004251797
237,Switzerland,2023,0,0,0.0036955452004251797
238,Spain,2017,0,0,0.0036955452004251797
239,Spain,2018,0,0,0.0036955452004251797
240,Spain,2019,0,0,0.0036955452004251797
241,Spain,2020,0,0,0.0036955452004251797
242,Spain,2021,0,0,0.0036955452004251797
243,Spain,2022,0,0,0.0036955452004251797
244,Spain,2023,1,0,0.0036955452004251797
245,Portugal,2017,0,0,0.0036955452004251797
246,Portugal,2018,0,0,0.0036955452004251797
247,Portugal,2019,0,0,0.0036955452004251797
248,Portugal,2020,0,0,0.0036955452004251797
249,Portugal,2021,0,0,0.0036955452004251797
250,Portugal,2022,0,0,0.0036955452004251797
251,Portugal,2023,0,0,0.0036955452004251797
252,Germany,2017,0,0,0.002345268403066124
253,Germany,2018,0,0,0.0017847302864741961
254,Germany,2019,0,0,0.0017847302864741961
255,Germany,2020,0,0,0.0017847302864741961
256,Germany,2021,0,0,0.0017847302864741961
257,Germany,2022,0,0,0.0017847302864741961
258,Germany,2023,0,0,0.0017847302864741961
259,Poland,2017,0,0,0.0005303442395120006
260,Poland,2018,0,0,0.0005303442395120006
261,Poland,2019,0,0,0.0005303442395120006
262,Poland,2020,0,0,0.0005303442395120006
263,Poland,2021,0,0,0.0005303442395120006
264,Poland,2022,0,0,0.0005303442395120006
265,Poland,2023,0,0,0.009536091787761266
266,Austria,2017,0,0,0.0005303442395120006
267,Austria,2018,0,0,0.0005303442395120006
268,Austria,2019,0,0,0.0005303442395120006
269,Austria,2020,0,0,0.0005303442395120006
270,Austria,2021,0,0,0.0005303442395120006
271,Austria,2022,0,0,0.0005303442395120006
272,Austria,2023,0,0,0.009536091787761266
273,Hungary,2017,0,0,0.0005303442395120006
274,Hungary,2018,0,0,0.0005303442395120006
275,Hungary,2019,0,0,0.0005303442395120006
