,country,year,d_protest,preds,preds_proba
561,Mali,2023,1,0,0.16883116883116883
562,Malta,2020,1,1,0.5844155844155844
563,Malta,2021,1,1,0.5757575757575758
564,Malta,2022,1,1,0.5584415584415584
565,Malta,2023,1,1,0.5584415584415584
566,Mauritania,2017,1,0,0.2077922077922078
567,Mauritania,2018,1,0,0.22510822510822512
568,Mauritania,2019,1,0,0.19047619047619047
569,Mauritania,2020,1,0,0.1645021645021645
570,Mauritania,2021,1,0,0.1471861471861472
571,Mauritania,2022,1,0,0.11688311688311688
572,Mauritania,2023,1,0,0.09956709956709957
573,Mauritius,2020,1,1,0.7359307359307359
574,Mauritius,2021,1,1,0.7316017316017316
575,Mauritius,2022,1,1,0.7316017316017316
576,Mauritius,2023,1,1,0.7316017316017316
577,Mexico,2018,1,1,0.7748917748917749
578,Mexico,2019,1,1,0.7835497835497836
579,Mexico,2020,1,1,0.8354978354978355
580,Mexico,2021,1,1,0.8484848484848485
581,Mexico,2022,1,1,0.8484848484848485
582,Mexico,2023,1,1,0.8354978354978355
583,Moldova,2018,1,1,0.7575757575757576
584,Moldova,2019,1,1,0.7316017316017316
585,Moldova,2020,1,1,0.7359307359307359
