,country,year,d_protest,preds,preds_proba
133,Burundi,2019,1,1,0.5800865800865801
134,Burundi,2020,0,1,0.5714285714285714
135,Burundi,2021,0,1,0.5497835497835498
136,Burundi,2022,1,0,0.4805194805194805
137,Burundi,2023,0,0,0.41125541125541126
138,Cambodia (Kampuchea),2017,1,1,0.9653679653679653
139,Cambodia (Kampuchea),2018,1,1,0.9826839826839827
140,Cambodia (Kampuchea),2019,1,1,0.9826839826839827
141,Cambodia (Kampuchea),2020,1,1,0.8528138528138528
142,Cambodia (Kampuchea),2021,1,1,0.8528138528138528
143,Cambodia (Kampuchea),2022,1,1,0.8398268398268398
144,Cambodia (Kampuchea),2023,1,1,0.8354978354978355
145,Cameroon,2017,1,0,0.03463203463203463
146,Cameroon,2018,1,0,0.09523809523809523
147,Cameroon,2019,1,0,0.18614718614718614
148,Cameroon,2020,1,0,0.19047619047619047
149,Cameroon,2021,1,0,0.19913419913419914
150,Cameroon,2022,1,0,0.22077922077922077
151,Cameroon,2023,1,0,0.2510822510822511
152,Canada,2021,1,1,0.6796536796536796
153,Canada,2022,1,1,0.6753246753246753
154,Canada,2023,1,1,0.6796536796536796
155,Cabo Verde,2020,1,1,0.5627705627705628
156,Cabo Verde,2021,1,1,0.5930735930735931
157,Cabo Verde,2022,1,1,0.5714285714285714
158,Cabo Verde,2023,1,1,0.5670995670995671
159,Central African Republic,2017,1,1,0.7748917748917749
160,Central African Republic,2018,0,1,0.6666666666666666
161,Central African Republic,2019,1,1,0.5930735930735931
162,Central African Republic,2020,1,1,0.5930735930735931
163,Central African Republic,2021,1,1,0.5930735930735931
164,Central African Republic,2022,1,1,0.5930735930735931
165,Central African Republic,2023,0,1,0.5844155844155844
166,Chad,2017,0,0,0.017316017316017316
167,Chad,2018,0,0,0.030303030303030304
168,Chad,2019,1,0,0.03463203463203463
169,Chad,2020,0,0,0.03463203463203463
170,Chad,2021,1,0,0.025974025974025976
171,Chad,2022,1,0,0.021645021645021644
172,Chad,2023,1,0,0.030303030303030304
173,Chile,2018,1,1,0.696969696969697
174,Chile,2019,1,1,0.7012987012987013
175,Chile,2020,1,1,0.7056277056277056
176,Chile,2021,1,1,0.7012987012987013
177,Chile,2022,1,1,0.70995670995671
178,Chile,2023,1,1,0.7142857142857143
179,China,2018,1,1,0.8917748917748918
180,China,2019,1,1,0.8658008658008658
181,China,2020,1,1,0.8571428571428571
182,China,2021,1,1,0.8268398268398268
183,China,2022,1,1,0.8008658008658008
184,China,2023,1,1,0.7965367965367965
185,Colombia,2018,1,1,0.8225108225108225
186,Colombia,2019,1,1,0.8181818181818182
187,Colombia,2020,1,1,0.8095238095238095
188,Colombia,2021,1,1,0.8095238095238095
189,Colombia,2022,1,1,0.8354978354978355
190,Colombia,2023,1,1,0.8268398268398268
191,Comoros,2020,0,0,0.341991341991342
192,Comoros,2021,0,0,0.33766233766233766
193,Comoros,2022,0,0,0.2857142857142857
194,Comoros,2023,0,0,0.29004329004329005
195,Costa Rica,2018,1,1,0.7489177489177489
196,Costa Rica,2019,1,1,0.7229437229437229
197,Costa Rica,2020,1,1,0.7186147186147186
198,Costa Rica,2021,1,1,0.7229437229437229
199,Costa Rica,2022,1,1,0.7272727272727273
200,Costa Rica,2023,1,1,0.7186147186147186
201,Croatia,2018,1,1,0.6406926406926406
202,Croatia,2019,1,1,0.6320346320346321
203,Croatia,2020,1,1,0.6233766233766234
204,Croatia,2021,1,1,0.5974025974025974
205,Croatia,2022,1,1,0.5974025974025974
206,Croatia,2023,1,1,0.5930735930735931
207,Cuba,2018,0,1,0.7402597402597403
208,Cuba,2019,0,1,0.7532467532467533
209,Cuba,2020,1,1,0.7489177489177489
210,Cuba,2021,1,1,0.7402597402597403
211,Cuba,2022,1,1,0.7359307359307359
212,Cuba,2023,1,1,0.7229437229437229
213,Cyprus,2018,1,1,0.6060606060606061
214,Cyprus,2019,1,1,0.6190476190476191
215,Cyprus,2020,1,1,0.6233766233766234
216,Cyprus,2021,1,1,0.6103896103896104
217,Cyprus,2022,1,1,0.5930735930735931
218,Cyprus,2023,1,1,0.6190476190476191
219,Czechia,2020,1,1,0.6753246753246753
220,Czechia,2021,1,1,0.658008658008658
221,Czechia,2022,1,1,0.670995670995671
222,Czechia,2023,1,1,0.7316017316017316
223,DR Congo (Zaire),2017,1,1,0.7705627705627706
224,DR Congo (Zaire),2018,1,1,0.7489177489177489
225,DR Congo (Zaire),2019,1,1,0.7705627705627706
226,DR Congo (Zaire),2020,1,1,0.7748917748917749
227,DR Congo (Zaire),2021,1,1,0.7705627705627706
228,DR Congo (Zaire),2022,1,1,0.7705627705627706
229,DR Congo (Zaire),2023,1,1,0.7359307359307359
230,Denmark,2020,1,1,0.6796536796536796
231,Denmark,2021,1,1,0.6926406926406926
232,Denmark,2022,1,1,0.6926406926406926
233,Denmark,2023,1,1,0.6883116883116883
234,Djibouti,2017,0,0,0.05194805194805195
235,Djibouti,2018,0,0,0.06493506493506493
236,Djibouti,2019,0,0,0.06926406926406926
237,Djibouti,2020,1,0,0.06060606060606061
238,Djibouti,2021,0,0,0.09090909090909091
239,Djibouti,2022,0,0,0.1038961038961039
240,Djibouti,2023,0,0,0.11688311688311688
241,Dominican Republic,2018,1,1,0.6796536796536796
242,Dominican Republic,2019,0,1,0.7705627705627706
243,Dominican Republic,2020,1,1,0.8095238095238095
244,Dominican Republic,2021,1,1,0.8614718614718615
245,Dominican Republic,2022,1,1,0.8744588744588745
246,Dominican Republic,2023,1,1,0.8744588744588745
247,East Timor,2020,0,0,0.23376623376623376
248,East Timor,2021,0,0,0.22077922077922077
249,East Timor,2022,0,0,0.20346320346320346
250,East Timor,2023,0,0,0.21212121212121213
251,Ecuador,2018,1,1,0.7056277056277056
252,Ecuador,2019,1,1,0.7575757575757576
253,Ecuador,2020,1,1,0.8354978354978355
254,Ecuador,2021,1,1,0.8528138528138528
255,Ecuador,2022,1,1,0.8744588744588745
256,Ecuador,2023,1,1,0.8831168831168831
257,Egypt,2017,1,1,0.9567099567099567
258,Egypt,2018,1,1,0.961038961038961
259,Egypt,2019,1,1,0.9134199134199135
260,Egypt,2020,1,1,0.8874458874458875
261,Egypt,2021,1,1,0.8917748917748918
262,Egypt,2022,1,1,0.8744588744588745
263,Egypt,2023,1,1,0.8354978354978355
264,El Salvador,2018,1,0,0.4155844155844156
265,El Salvador,2019,1,0,0.42424242424242425
266,El Salvador,2020,1,0,0.4155844155844156
267,El Salvador,2021,1,0,0.41125541125541126
268,El Salvador,2022,1,0,0.42424242424242425
269,El Salvador,2023,1,1,0.5108225108225108
270,Equatorial Guinea,2017,0,0,0.06493506493506493
271,Equatorial Guinea,2018,0,0,0.09956709956709957
272,Equatorial Guinea,2019,0,0,0.18614718614718614
273,Equatorial Guinea,2020,0,0,0.19913419913419914
274,Equatorial Guinea,2021,0,0,0.22943722943722944
275,Equatorial Guinea,2022,0,0,0.22077922077922077
276,Equatorial Guinea,2023,0,0,0.24675324675324675
277,Eritrea,2017,0,0,0.021645021645021644
278,Eritrea,2018,0,0,0.03896103896103896
279,Eritrea,2019,0,0,0.07792207792207792
280,Eritrea,2020,0,0,0.09090909090909091
281,Eritrea,2021,0,0,0.07792207792207792
282,Eritrea,2022,0,0,0.08658008658008658
283,Eritrea,2023,0,0,0.1038961038961039
284,Estonia,2020,1,1,0.6233766233766234
285,Estonia,2021,1,1,0.6363636363636364
286,Estonia,2022,1,1,0.6363636363636364
287,Estonia,2023,1,1,0.6406926406926406
288,Ethiopia,2017,1,1,0.8311688311688312
289,Ethiopia,2018,1,1,0.8484848484848485
290,Ethiopia,2019,1,1,0.8354978354978355
291,Ethiopia,2020,1,1,0.6103896103896104
