,country,year,d_osv,preds,preds_proba
131,Suriname,2022,0,0,0.14974584555229717
132,Suriname,2023,0,0,0.14974584555229717
133,Ecuador,2017,0,0,0.13781838316722034
134,Ecuador,2018,0,0,0.13781838316722034
135,Ecuador,2019,0,0,0.0968660022148394
136,Ecuador,2020,0,0,0.08523809523809522
137,Ecuador,2021,0,0,0.08523809523809522
138,Ecuador,2022,1,0,0.08523809523809522
139,Ecuador,2023,0,1,0.6019754265342501
140,Peru,2017,0,1,0.6019754265342501
141,Peru,2018,0,0,0.41391178266178275
142,Peru,2019,1,0,0.22309829059829062
143,Peru,2020,1,1,0.8022892793481029
144,Peru,2021,0,1,0.8049876920465155
145,Peru,2022,1,0,0.21280067155067153
146,Peru,2023,0,1,0.8236962057550293
147,Brazil,2017,1,1,0.8022892793481029
148,Brazil,2018,1,1,0.8022892793481029
149,Brazil,2019,1,1,0.8049876920465155
150,Brazil,2020,1,1,0.7704638825227061
151,Brazil,2021,1,1,0.8236962057550293
152,Brazil,2022,1,1,0.6761204481792717
153,Brazil,2023,1,1,0.6761204481792717
154,Bolivia,2017,0,0,0.08523809523809522
155,Bolivia,2018,0,0,0.08523809523809522
156,Bolivia,2019,0,0,0.08523809523809522
157,Bolivia,2020,0,0,0.08523809523809522
158,Bolivia,2021,0,0,0.08523809523809522
159,Bolivia,2022,0,0,0.08523809523809522
160,Bolivia,2023,0,0,0.08523809523809522
161,Paraguay,2017,0,0,0.08523809523809522
162,Paraguay,2018,1,0,0.08523809523809522
163,Paraguay,2019,0,1,0.6761204481792717
164,Paraguay,2020,1,0,0.3683562271062271
165,Paraguay,2021,1,1,0.6761204481792717
166,Paraguay,2022,0,1,0.6761204481792717
167,Paraguay,2023,0,0,0.3683562271062271
168,Chile,2017,0,0,0.08523809523809522
169,Chile,2018,0,0,0.0
170,Chile,2019,0,0,0.0
171,Chile,2020,0,0,0.08523809523809522
172,Chile,2021,0,0,0.08523809523809522
173,Chile,2022,0,0,0.0
174,Chile,2023,0,0,0.08523809523809522
175,Argentina,2017,0,0,0.03809523809523809
176,Argentina,2018,0,0,0.016666666666666666
177,Argentina,2019,0,0,0.016666666666666666
178,Argentina,2020,0,0,0.016666666666666666
179,Argentina,2021,0,0,0.016666666666666666
180,Argentina,2022,0,0,0.08523809523809522
181,Argentina,2023,0,0,0.08523809523809522
182,Uruguay,2017,0,0,0.13781838316722034
183,Uruguay,2018,0,0,0.13781838316722034
184,Uruguay,2019,0,0,0.0968660022148394
185,Uruguay,2020,0,0,0.08523809523809522
186,Uruguay,2021,0,0,0.08523809523809522
187,Uruguay,2022,0,0,0.08523809523809522
188,Uruguay,2023,0,0,0.08523809523809522
189,United Kingdom,2017,0,0,0.08026572684215996
190,United Kingdom,2018,0,0,0.08614807978333643
191,United Kingdom,2019,1,0,0.11232517482517483
192,United Kingdom,2020,0,1,0.8609523809523809
193,United Kingdom,2021,0,0,0.3484210526315789
194,United Kingdom,2022,0,0,0.2732142857142857
195,United Kingdom,2023,0,0,0.18908730158730158
196,Ireland,2017,0,0,0.00015313935681470137
197,Ireland,2018,0,0,0.00015313935681470137
198,Ireland,2019,0,0,0.00015313935681470137
199,Ireland,2020,0,0,0.0077304964539007094
200,Ireland,2021,0,0,0.00015313935681470137
201,Ireland,2022,0,0,0.00015313935681470137
202,Ireland,2023,0,0,0.00015313935681470137
203,Netherlands,2017,0,0,0.08523809523809522
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.08523809523809522
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.0
209,Netherlands,2023,0,0,0.0
210,Belgium,2017,0,1,0.8295658263305322
211,Belgium,2018,1,0,0.18175438596491228
212,Belgium,2019,0,1,0.7673718051814028
213,Belgium,2020,0,0,0.2017543859649123
214,Belgium,2021,0,0,0.19876984126984126
215,Belgium,2022,0,0,0.16527777777777777
216,Belgium,2023,1,0,0.051587301587301584
217,Luxembourg,2017,0,0,0.0077304964539007094
218,Luxembourg,2018,0,0,0.00015313935681470137
219,Luxembourg,2019,0,0,0.0077304964539007094
220,Luxembourg,2020,0,0,0.00015313935681470137
221,Luxembourg,2021,0,0,0.00015313935681470137
222,Luxembourg,2022,0,0,0.00015313935681470137
223,Luxembourg,2023,0,0,0.00015313935681470137
224,France,2017,0,1,0.6761204481792717
225,France,2018,1,0,0.3683562271062271
226,France,2019,0,1,0.6761204481792717
227,France,2020,0,0,0.3484210526315789
228,France,2021,0,0,0.2732142857142857
229,France,2022,0,0,0.18908730158730158
230,France,2023,1,0,0.11825396825396825
231,Switzerland,2017,0,0,0.08523809523809522
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.08523809523809522
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.08523809523809522
236,Switzerland,2022,0,0,0.0
237,Switzerland,2023,0,0,0.0
238,Spain,2017,1,0,0.10676961926961928
239,Spain,2018,0,1,0.8609523809523809
240,Spain,2019,0,0,0.3683562271062271
241,Spain,2020,0,0,0.2732142857142857
242,Spain,2021,0,0,0.18908730158730158
243,Spain,2022,0,0,0.11825396825396825
244,Spain,2023,0,0,0.05944444444444443
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.08523809523809522
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.0
251,Portugal,2023,0,0,0.0
252,Germany,2017,0,1,0.9296082851068206
253,Germany,2018,0,0,0.05856949224298567
254,Germany,2019,0,0,0.3383748679164638
255,Germany,2020,0,0,0.31305728088336787
256,Germany,2021,0,0,0.3201098359634945
257,Germany,2022,0,0,0.006602254428341385
258,Germany,2023,0,0,0.006602254428341385
259,Poland,2017,0,0,0.0077304964539007094
260,Poland,2018,0,0,0.00015313935681470137
261,Poland,2019,0,0,0.0077304964539007094
262,Poland,2020,0,0,0.00015313935681470137
263,Poland,2021,0,0,0.0077304964539007094
264,Poland,2022,0,0,0.00015313935681470137
265,Poland,2023,0,0,0.0077304964539007094
266,Austria,2017,0,0,0.0077304964539007094
267,Austria,2018,0,0,0.00015313935681470137
268,Austria,2019,0,0,0.00015313935681470137
269,Austria,2020,1,0,0.00015313935681470137
270,Austria,2021,0,0,0.43940127668941226
271,Austria,2022,0,0,0.1909876652861587
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.00015313935681470137
274,Hungary,2018,0,0,0.00015313935681470137
275,Hungary,2019,0,0,0.00015313935681470137
276,Hungary,2020,0,0,0.00015313935681470137
277,Hungary,2021,0,0,0.0077304964539007094
278,Hungary,2022,0,0,0.00015313935681470137
279,Hungary,2023,0,0,0.0077304964539007094
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.040192307692307694
282,Czechia,2019,0,0,0.040192307692307694
283,Czechia,2020,0,0,0.040192307692307694
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.040192307692307694
286,Czechia,2023,0,0,0.040192307692307694
287,Slovakia,2017,0,0,0.05557692307692308
288,Slovakia,2018,0,0,0.040192307692307694
289,Slovakia,2019,0,0,0.040192307692307694
290,Slovakia,2020,0,0,0.040192307692307694
291,Slovakia,2021,0,0,0.0
292,Slovakia,2022,0,0,0.040192307692307694
293,Slovakia,2023,0,0,0.0
294,Italy,2017,0,0,0.08523809523809522
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.08523809523809522
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.08523809523809522
299,Italy,2022,0,0,0.0
300,Italy,2023,0,0,0.0
301,Malta,2017,0,0,0.00015313935681470137
302,Malta,2018,0,0,0.00015313935681470137
303,Malta,2019,0,0,0.00015313935681470137
304,Malta,2020,0,0,0.00015313935681470137
305,Malta,2021,0,0,0.00015313935681470137
306,Malta,2022,0,0,0.00015313935681470137
307,Malta,2023,0,0,0.00015313935681470137
308,Albania,2017,0,0,0.00015313935681470137
309,Albania,2018,0,0,0.00015313935681470137
310,Albania,2019,0,0,0.00015313935681470137
311,Albania,2020,0,0,0.00015313935681470137
312,Albania,2021,0,0,0.00015313935681470137
313,Albania,2022,0,0,0.00015313935681470137
314,Albania,2023,0,0,0.00015313935681470137
315,Serbia,2017,0,0,0.0
316,Serbia,2018,0,0,0.0
317,Serbia,2019,0,0,0.0
318,Serbia,2020,0,0,0.0
319,Serbia,2021,0,0,0.0
320,Serbia,2022,0,0,0.0
321,Serbia,2023,0,0,0.0
322,Montenegro,2017,0,0,0.0
323,Montenegro,2018,0,0,0.0
324,Montenegro,2019,0,0,0.0
325,Montenegro,2020,0,0,0.0
326,Montenegro,2021,0,0,0.0
327,Montenegro,2022,0,0,0.0
328,Montenegro,2023,0,0,0.0
329,North Macedonia,2017,0,0,0.0
330,North Macedonia,2018,0,0,0.0
331,North Macedonia,2019,0,0,0.0
332,North Macedonia,2020,0,0,0.0
333,North Macedonia,2021,0,0,0.0
334,North Macedonia,2022,0,0,0.0
335,North Macedonia,2023,0,0,0.040192307692307694
336,Croatia,2017,0,0,0.0
337,Croatia,2018,0,0,0.0
338,Croatia,2019,0,0,0.09019230769230768
339,Croatia,2020,0,0,0.040192307692307694
340,Croatia,2021,0,0,0.040192307692307694
341,Croatia,2022,0,0,0.040192307692307694
342,Croatia,2023,0,0,0.040192307692307694
343,Bosnia-Herzegovina,2017,0,0,0.0
344,Bosnia-Herzegovina,2018,0,0,0.0
345,Bosnia-Herzegovina,2019,0,0,0.09019230769230768
346,Bosnia-Herzegovina,2020,0,0,0.040192307692307694
347,Bosnia-Herzegovina,2021,0,0,0.040192307692307694
348,Bosnia-Herzegovina,2022,0,0,0.040192307692307694
349,Bosnia-Herzegovina,2023,0,0,0.040192307692307694
350,Slovenia,2017,0,0,0.040192307692307694
351,Slovenia,2018,0,0,0.040192307692307694
352,Slovenia,2019,0,0,0.040192307692307694
353,Slovenia,2020,0,0,0.040192307692307694
354,Slovenia,2021,0,0,0.0
355,Slovenia,2022,0,0,0.040192307692307694
356,Slovenia,2023,0,0,0.040192307692307694
357,Greece,2017,0,0,0.0968660022148394
358,Greece,2018,0,0,0.08523809523809522
359,Greece,2019,0,0,0.00015313935681470137
360,Greece,2020,0,0,0.08523809523809522
361,Greece,2021,0,0,0.08523809523809522
362,Greece,2022,0,0,0.00015313935681470137
363,Greece,2023,0,0,0.08523809523809522
364,Cyprus,2017,0,0,0.00015313935681470137
365,Cyprus,2018,0,0,0.00015313935681470137
366,Cyprus,2019,0,0,0.00015313935681470137
367,Cyprus,2020,0,0,0.00015313935681470137
368,Cyprus,2021,0,0,0.00015313935681470137
