,country,year,d_ns,preds,preds_proba
133,Ecuador,2017,0,0,0.016740795974077224
134,Ecuador,2018,0,0,0.034903459269483884
135,Ecuador,2019,0,0,0.036374462846964585
136,Ecuador,2020,0,0,0.041412380198884595
137,Ecuador,2021,1,0,0.03993353550600698
138,Ecuador,2022,1,0,0.03219017267414857
139,Ecuador,2023,1,0,0.06277469205031293
140,Peru,2017,0,0,0.024766258646929412
141,Peru,2018,0,0,0.04392599115407841
142,Peru,2019,0,0,0.04830767142071443
143,Peru,2020,0,0,0.05214247968030145
144,Peru,2021,0,0,0.058807248570037
145,Peru,2022,0,0,0.06313721064336192
146,Peru,2023,0,0,0.090570838961946
147,Brazil,2017,1,1,0.7701388888888888
148,Brazil,2018,1,1,0.7273660275319568
149,Brazil,2019,1,1,0.6671152900688299
150,Brazil,2020,1,1,0.6372480334316618
151,Brazil,2021,1,1,0.6236576415226858
152,Brazil,2022,1,1,0.5974250245821043
153,Brazil,2023,1,1,0.6003380039331366
154,Bolivia,2017,0,0,0.023199965011102382
155,Bolivia,2018,0,0,0.024491609987677083
156,Bolivia,2019,0,0,0.027987855629940425
157,Bolivia,2020,0,0,0.10281884536688166
158,Bolivia,2021,1,0,0.029407472149114468
159,Bolivia,2022,0,0,0.0423421321587899
160,Bolivia,2023,1,0,0.07894002309466938
161,Paraguay,2017,0,0,0.3670524435946849
162,Paraguay,2018,0,0,0.2377361293779282
163,Paraguay,2019,0,0,0.20229049094556406
164,Paraguay,2020,0,0,0.19165521913772585
165,Paraguay,2021,0,0,0.16484220913887507
166,Paraguay,2022,0,0,0.13962179901802252
167,Paraguay,2023,0,0,0.15225085506522018
168,Chile,2017,0,0,0.015950273914875687
169,Chile,2018,0,0,0.026987638713302432
170,Chile,2019,0,0,0.06725312543896615
171,Chile,2020,0,0,0.06614693074870066
172,Chile,2021,0,0,0.06172215198763872
173,Chile,2022,0,0,0.06393454136816969
174,Chile,2023,0,0,0.09081507234162099
175,Argentina,2017,0,0,0.003945427728613569
176,Argentina,2018,0,0,0.006157817109144543
177,Argentina,2019,0,0,0.006157817109144543
178,Argentina,2020,0,0,0.008370206489675515
179,Argentina,2021,0,0,0.008370206489675515
180,Argentina,2022,0,0,0.011504424778761062
181,Argentina,2023,0,0,0.033443952802359886
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0022123893805309734
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.0022123893805309734
188,Uruguay,2023,0,0,0.011061946902654867
189,United Kingdom,2017,0,0,0.0055309734513274336
190,United Kingdom,2018,0,0,0.00995575221238938
191,United Kingdom,2019,0,0,0.010840707964601771
192,United Kingdom,2020,0,0,0.038764222503160556
193,United Kingdom,2021,0,0,0.04208280657395702
194,United Kingdom,2022,0,0,0.04429519595448799
195,United Kingdom,2023,0,0,0.07010640539401601
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0022123893805309734
202,Ireland,2023,0,0,0.011651917404129792
203,Netherlands,2017,0,0,0.0005530973451327434
204,Netherlands,2018,0,0,0.01991150442477876
205,Netherlands,2019,0,0,0.01843657817109144
206,Netherlands,2020,0,0,0.020648967551622415
207,Netherlands,2021,0,0,0.020095870206489674
208,Netherlands,2022,0,0,0.020095870206489674
209,Netherlands,2023,0,0,0.034476401179941
210,Belgium,2017,0,0,0.0022123893805309734
211,Belgium,2018,0,0,0.0027654867256637168
212,Belgium,2019,0,0,0.0005530973451327434
213,Belgium,2020,0,0,0.0005530973451327434
214,Belgium,2021,0,0,0.0005530973451327434
215,Belgium,2022,0,0,0.0027654867256637168
216,Belgium,2023,0,0,0.0027654867256637168
217,Luxembourg,2017,0,0,0.0055309734513274336
218,Luxembourg,2018,0,0,0.00995575221238938
219,Luxembourg,2019,0,0,0.00331858407079646
220,Luxembourg,2020,0,0,0.0055309734513274336
221,Luxembourg,2021,0,0,0.00995575221238938
222,Luxembourg,2022,0,0,0.00331858407079646
223,Luxembourg,2023,0,0,0.00995575221238938
224,France,2017,0,0,0.0035029498525073746
225,France,2018,0,0,0.0035029498525073746
226,France,2019,0,0,0.0035029498525073746
227,France,2020,0,0,0.0035029498525073746
228,France,2021,0,0,0.0035029498525073746
229,France,2022,0,0,0.0035029498525073746
230,France,2023,1,0,0.02617994100294985
231,Switzerland,2017,0,0,0.006979561736198904
232,Switzerland,2018,0,0,0.006979561736198904
233,Switzerland,2019,0,0,0.004767172355667931
234,Switzerland,2020,0,0,0.004767172355667931
235,Switzerland,2021,0,0,0.006979561736198904
236,Switzerland,2022,0,0,0.006979561736198904
237,Switzerland,2023,0,0,0.01420670037926675
238,Spain,2017,0,0,0.0045353982300884955
239,Spain,2018,0,0,0.0045353982300884955
240,Spain,2019,0,0,0.0045353982300884955
241,Spain,2020,0,0,0.017809734513274337
242,Spain,2021,0,0,0.011172566371681415
243,Spain,2022,0,0,0.011615044247787611
244,Spain,2023,1,0,0.04627581120943952
245,Portugal,2017,0,0,0.0036873156342182886
246,Portugal,2018,0,0,0.004424778761061947
247,Portugal,2019,0,0,0.014380530973451327
248,Portugal,2020,0,0,0.016592920353982302
249,Portugal,2021,0,0,0.016592920353982302
250,Portugal,2022,0,0,0.014380530973451327
251,Portugal,2023,0,0,0.028613569321533923
252,Germany,2017,0,0,0.01038242730720607
253,Germany,2018,0,0,0.016687737041719344
254,Germany,2019,0,0,0.016687737041719344
255,Germany,2020,0,0,0.018715760640539404
256,Germany,2021,0,0,0.015175937631689845
257,Germany,2022,0,0,0.015175937631689845
258,Germany,2023,0,0,0.03997050147492626
259,Poland,2017,0,0,0.015339233038348086
260,Poland,2018,0,0,0.013126843657817109
261,Poland,2019,0,0,0.010471976401179939
262,Poland,2020,0,0,0.010471976401179939
263,Poland,2021,0,0,0.010471976401179939
264,Poland,2022,0,0,0.010471976401179939
265,Poland,2023,0,0,0.04314159292035398
266,Austria,2017,0,0,0.0022123893805309734
267,Austria,2018,0,0,0.007005899705014749
268,Austria,2019,0,0,0.007005899705014749
269,Austria,2020,0,0,0.007005899705014749
270,Austria,2021,0,0,0.007005899705014749
271,Austria,2022,0,0,0.004793510324483776
272,Austria,2023,0,0,0.007595870206489675
273,Hungary,2017,0,0,0.0022123893805309734
274,Hungary,2018,0,0,0.0022123893805309734
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0022123893805309734
277,Hungary,2021,0,0,0.0022123893805309734
278,Hungary,2022,0,0,0.0
279,Hungary,2023,0,0,0.0072271386430678465
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0
286,Czechia,2023,0,0,0.005014749262536873
287,Slovakia,2017,0,0,0.007005899705014749
288,Slovakia,2018,0,0,0.00921828908554572
289,Slovakia,2019,0,0,0.00921828908554572
290,Slovakia,2020,0,0,0.00921828908554572
291,Slovakia,2021,0,0,0.004793510324483777
292,Slovakia,2022,0,0,0.004793510324483777
293,Slovakia,2023,0,0,0.007595870206489675
294,Italy,2017,0,0,0.0022123893805309734
295,Italy,2018,0,0,0.010508849557522125
296,Italy,2019,0,0,0.010508849557522125
297,Italy,2020,0,0,0.007743362831858407
298,Italy,2021,0,0,0.004424778761061947
299,Italy,2022,0,0,0.004424778761061947
300,Italy,2023,0,0,0.03525073746312684
301,Malta,2017,0,0,0.0
302,Malta,2018,0,0,0.0022123893805309734
303,Malta,2019,0,0,0.01819953645174884
304,Malta,2020,0,0,0.01654024441635061
305,Malta,2021,0,0,0.0140117994100295
306,Malta,2022,0,0,0.010693215339233038
307,Malta,2023,0,0,0.01733038348082596
308,Albania,2017,0,0,0.0027654867256637168
309,Albania,2018,0,0,0.0027654867256637168
310,Albania,2019,0,0,0.00497787610619469
311,Albania,2020,0,0,0.005715339233038348
312,Albania,2021,0,0,0.014233038348082596
313,Albania,2022,0,0,0.007042772861356933
314,Albania,2023,0,0,0.016482300884955753
315,Serbia,2017,0,0,0.009297302991993259
316,Serbia,2018,0,0,0.01593447113358618
317,Serbia,2019,0,0,0.024388959123472397
318,Serbia,2020,0,0,0.01996418036241045
319,Serbia,2021,0,0,0.03260640539401601
320,Serbia,2022,0,0,0.043668352296670876
321,Serbia,2023,0,0,0.061773072060682686
322,Montenegro,2017,0,0,0.0056047197640118
323,Montenegro,2018,0,0,0.0056047197640118
324,Montenegro,2019,0,0,0.0056047197640118
325,Montenegro,2020,0,0,0.00892330383480826
326,Montenegro,2021,0,0,0.011135693215339233
327,Montenegro,2022,0,0,0.011135693215339233
328,Montenegro,2023,0,0,0.02223451327433628
329,North Macedonia,2017,0,0,0.0
330,North Macedonia,2018,0,0,0.0
331,North Macedonia,2019,0,0,0.0
332,North Macedonia,2020,0,0,0.0
333,North Macedonia,2021,0,0,0.0
334,North Macedonia,2022,0,0,0.0
335,North Macedonia,2023,0,0,0.012205014749262538
336,Croatia,2017,0,0,0.004424778761061947
337,Croatia,2018,0,0,0.013643067846607668
338,Croatia,2019,0,0,0.011430678466076694
339,Croatia,2020,0,0,0.013643067846607668
340,Croatia,2021,0,0,0.01696165191740413
341,Croatia,2022,0,0,0.012168141592920354
342,Croatia,2023,0,0,0.020448798988622
343,Bosnia-Herzegovina,2017,0,0,0.012039085545722713
344,Bosnia-Herzegovina,2018,0,0,0.00778023598820059
345,Bosnia-Herzegovina,2019,0,0,0.012205014749262534
346,Bosnia-Herzegovina,2020,0,0,0.013808997050147492
347,Bosnia-Herzegovina,2021,0,0,0.013366519174041297
348,Bosnia-Herzegovina,2022,0,0,0.01631637168141593
349,Bosnia-Herzegovina,2023,0,0,0.02907448377581121
350,Slovenia,2017,0,0,0.004056047197640118
351,Slovenia,2018,0,0,0.008480825958702065
352,Slovenia,2019,0,0,0.01069321533923304
353,Slovenia,2020,0,0,0.01733038348082596
354,Slovenia,2021,0,0,0.01733038348082596
355,Slovenia,2022,0,0,0.015117994100294987
356,Slovenia,2023,0,0,0.026769911504424777
357,Greece,2017,0,0,0.0
358,Greece,2018,0,0,0.0007374631268436578
359,Greece,2019,0,0,0.0029498525073746312
360,Greece,2020,0,0,0.011378002528445005
361,Greece,2021,0,0,0.01885319695054208
362,Greece,2022,0,0,0.01885319695054208
363,Greece,2023,0,0,0.03460809102402023
364,Cyprus,2017,0,0,0.005346607669616519
365,Cyprus,2018,0,0,0.02120206489675516
366,Cyprus,2019,0,0,0.010140117994100294
367,Cyprus,2020,0,0,0.006084070796460177
368,Cyprus,2021,0,0,0.006084070796460177
369,Cyprus,2022,0,0,0.0075589970501474925
370,Cyprus,2023,0,0,0.01699852507374631
371,Bulgaria,2017,0,0,0.0022123893805309734
372,Bulgaria,2018,0,0,0.004424778761061947
373,Bulgaria,2019,0,0,0.006194690265486726
374,Bulgaria,2020,0,0,0.006194690265486726
375,Bulgaria,2021,0,0,0.00663716814159292
376,Bulgaria,2022,0,0,0.008849557522123894
377,Bulgaria,2023,0,0,0.024373156342182893
378,Moldova,2017,0,0,0.025431942688579855
379,Moldova,2018,0,0,0.043426042983565095
380,Moldova,2019,0,0,0.04437420986093551
381,Moldova,2020,0,0,0.03921723556679309
382,Moldova,2021,0,0,0.03603034134007585
383,Moldova,2022,0,0,0.06418299620733248
384,Moldova,2023,0,0,0.07377001685630005
385,Romania,2017,0,0,0.0007374631268436578
386,Romania,2018,0,0,0.0029498525073746312
387,Romania,2019,0,0,0.0007374631268436578
388,Romania,2020,0,0,0.0007374631268436578
389,Romania,2021,0,0,0.002654867256637168
390,Romania,2022,0,0,0.002654867256637168
391,Romania,2023,0,0,0.032005899705014745
392,Russia (Soviet Union),2017,0,0,0.06460967130214916
393,Russia (Soviet Union),2018,0,0,0.08908554572271385
394,Russia (Soviet Union),2019,0,0,0.09019174041297934
395,Russia (Soviet Union),2020,0,0,0.13111567635903923
396,Russia (Soviet Union),2021,0,0,0.13353876949009696
397,Russia (Soviet Union),2022,0,0,0.10233881163084702
398,Russia (Soviet Union),2023,0,0,0.1537031184155078
399,Estonia,2017,0,0,0.0
400,Estonia,2018,0,0,0.0
401,Estonia,2019,0,0,0.0
402,Estonia,2020,0,0,0.0
403,Estonia,2021,0,0,0.0
404,Estonia,2022,0,0,0.0011061946902654867
405,Estonia,2023,0,0,0.013495575221238938
406,Latvia,2017,0,0,0.0016224188790560474
407,Latvia,2018,0,0,0.012684365781710914
408,Latvia,2019,0,0,0.0058997050147492625
409,Latvia,2020,0,0,0.0058997050147492625
410,Latvia,2021,0,0,0.019727138643067844
411,Latvia,2022,0,0,0.0075589970501474925
412,Latvia,2023,0,0,0.018473451327433627
413,Lithuania,2017,0,0,0.0007374631268436578
414,Lithuania,2018,0,0,0.0007374631268436578
415,Lithuania,2019,0,0,0.0018436578171091443
416,Lithuania,2020,0,0,0.0025811209439528023
417,Lithuania,2021,0,0,0.0025811209439528023
418,Lithuania,2022,0,0,0.0025811209439528023
419,Lithuania,2023,0,0,0.007595870206489675
420,Ukraine,2017,0,0,0.03751053518752634
421,Ukraine,2018,0,0,0.043494521702486307
422,Ukraine,2019,0,0,0.04496944795617362
423,Ukraine,2020,0,0,0.040197008006742516
424,Ukraine,2021,0,0,0.039828276443320695
425,Ukraine,2022,0,0,0.03662557943531394
426,Ukraine,2023,0,0,0.07990412979351035
427,Belarus,2017,0,0,0.027354614412136536
428,Belarus,2018,0,0,0.030009481668773697
429,Belarus,2019,0,0,0.028165823851664554
430,Belarus,2020,0,0,0.027354614412136536
431,Belarus,2021,0,0,0.019110830172777073
432,Belarus,2022,0,0,0.013974926253687316
433,Belarus,2023,0,0,0.01751474926253687
434,Armenia,2017,0,0,0.013495575221238938
435,Armenia,2018,0,0,0.009771386430678467
436,Armenia,2019,0,0,0.009033923303834807
