,country,year,d_terror,preds_proba
639,Singapore,2020,0,0.07000946520821022
640,Philippines,2017,1,0.8970974572802434
641,Philippines,2018,1,0.8921605137609422
642,Philippines,2019,1,0.8929826112104284
643,Philippines,2020,1,0.8856381969115388
644,Indonesia,2017,1,0.8389883853325042
645,Indonesia,2018,1,0.7905454828307391
646,Indonesia,2019,1,0.8336525248518436
647,Indonesia,2020,1,0.7844364708637451
648,East Timor,2017,0,0.14919873969844144
649,East Timor,2018,0,0.14821865090332167
650,East Timor,2019,0,0.15337692141851408
651,East Timor,2020,0,0.16329624782915783
652,Australia,2017,1,0.33107569447440677
653,Australia,2018,1,0.35111598678377787
654,Australia,2019,0,0.34627898946261415
655,Australia,2020,0,0.3796532910900545
656,Papua New Guinea,2017,0,0.10168701359728251
657,Papua New Guinea,2018,0,0.11249214305589628
658,Papua New Guinea,2019,0,0.1118630132108294
659,Papua New Guinea,2020,0,0.11019994091577186
660,New Zealand,2017,0,0.04525039339250673
661,New Zealand,2018,0,0.04792958925312993
662,New Zealand,2019,1,0.06140417757711112
663,New Zealand,2020,0,0.1180727233387586
664,Solomon Islands,2017,0,0.035219421984450494
665,Solomon Islands,2018,0,0.0327295950192379
666,Solomon Islands,2019,0,0.03708992554927341
667,Solomon Islands,2020,0,0.05134918669906047
668,Fiji,2017,0,0.03908560483468096
669,Fiji,2018,0,0.04262490386200907
670,Fiji,2019,0,0.05261653099321935
671,Fiji,2020,0,0.05464893884174016
