,country,year,d_terror,preds_proba
148,Poland,2017,0,0.11962715864806077
149,Poland,2018,0,0.13882236428324013
150,Poland,2019,0,0.14044915138202144
151,Poland,2020,0,0.15582853932171326
152,Austria,2017,1,0.12720545402411884
153,Austria,2018,1,0.25031715608184857
154,Austria,2019,0,0.17443678590267686
155,Austria,2020,1,0.16240268955530046
156,Hungary,2017,0,0.07175092269104102
157,Hungary,2018,0,0.08626115186213026
158,Hungary,2019,0,0.10540045261133751
159,Hungary,2020,0,0.0965892294109937
160,Czechia,2017,0,0.19865037989591286
161,Czechia,2018,0,0.2291301599295864
162,Czechia,2019,0,0.20493949367847314
163,Czechia,2020,0,0.1914158322723405
164,Slovakia,2017,0,0.03614514044131928
165,Slovakia,2018,0,0.05663598537827414
166,Slovakia,2019,0,0.07225755152612437
167,Slovakia,2020,0,0.08755834176173047
168,Italy,2017,0,0.44392994721716417
169,Italy,2018,0,0.3552711247510404
170,Italy,2019,0,0.29596514517449535
171,Italy,2020,0,0.3047899063625052
172,Malta,2017,1,0.07431751400491565
173,Malta,2018,0,0.2360356685842582
174,Malta,2019,0,0.18988971684370445
175,Malta,2020,0,0.19195015588841852
176,Albania,2017,0,0.18908697673663447
177,Albania,2018,0,0.19895629852815477
178,Albania,2019,0,0.18715237551002747
179,Albania,2020,0,0.1795108576299502
180,Serbia,2017,0,0.08034960204104816
181,Serbia,2018,0,0.09354428301062673
182,Serbia,2019,0,0.09877159550433157
183,Serbia,2020,0,0.16480689481258065
184,Montenegro,2017,0,0.07577857707314659
185,Montenegro,2018,1,0.0736653185884107
186,Montenegro,2019,0,0.15916240735134707
187,Montenegro,2020,0,0.1670990834651347
188,North Macedonia,2017,0,0.15806775091702432
189,North Macedonia,2018,0,0.16193022108029567
190,North Macedonia,2019,0,0.13137418123603248
191,North Macedonia,2020,0,0.14325972337123596
192,Croatia,2017,0,0.05267334599985226
193,Croatia,2018,0,0.06257344520659977
194,Croatia,2019,0,0.06648328395975991
195,Croatia,2020,1,0.07191960573019057
196,Bosnia-Herzegovina,2017,0,0.249851856640944
197,Bosnia-Herzegovina,2018,0,0.3030331124812032
198,Bosnia-Herzegovina,2019,0,0.2884589719955923
199,Bosnia-Herzegovina,2020,0,0.2895479068686424
200,Slovenia,2017,0,0.05441245903526923
201,Slovenia,2018,0,0.06909772034481373
202,Slovenia,2019,0,0.07811222180157978
203,Slovenia,2020,0,0.08003539701462312
204,Greece,2017,0,0.3467864280446104
205,Greece,2018,0,0.31645585569541157
206,Greece,2019,0,0.3234566931558123
207,Greece,2020,0,0.34198047212564875
208,Cyprus,2017,0,0.04156704763712078
209,Cyprus,2018,0,0.05827012002670216
210,Cyprus,2019,0,0.060666362294164874
211,Cyprus,2020,0,0.08181627034317936
212,Bulgaria,2017,0,0.14150093973697453
213,Bulgaria,2018,0,0.15390882019638497
214,Bulgaria,2019,0,0.1689236569839493
215,Bulgaria,2020,0,0.14723434022750864
216,Moldova,2017,0,0.09654280010264407
217,Moldova,2018,0,0.11413374854848474
218,Moldova,2019,0,0.11731029678782656
219,Moldova,2020,0,0.12999473457177624
220,Romania,2017,0,0.03689036270556441
221,Romania,2018,0,0.05101935168855333
222,Romania,2019,0,0.05351468872167272
223,Romania,2020,0,0.07502018776501038
224,Russia (Soviet Union),2017,1,0.9020683836258336
225,Russia (Soviet Union),2018,1,0.8704650999391783
226,Russia (Soviet Union),2019,1,0.8637847433958172
227,Russia (Soviet Union),2020,1,0.8649509525019856
228,Estonia,2017,0,0.0935920451688556
229,Estonia,2018,0,0.10876937721932475
230,Estonia,2019,0,0.11040382070644356
231,Estonia,2020,0,0.11304159195615393
232,Latvia,2017,0,0.04659140164912453
233,Latvia,2018,0,0.06466043817731146
234,Latvia,2019,0,0.07917652725905337
235,Latvia,2020,0,0.07977852615097321
236,Lithuania,2017,0,0.06366446864015024
237,Lithuania,2018,0,0.06600016563080849
238,Lithuania,2019,0,0.07421271989819206
239,Lithuania,2020,0,0.07082740811064753
240,Ukraine,2017,1,0.6832349227688705
241,Ukraine,2018,1,0.6070137485483784
242,Ukraine,2019,1,0.5960686958841108
243,Ukraine,2020,0,0.6206531469877395
244,Belarus,2017,0,0.09779408323785381
245,Belarus,2018,0,0.13024950774476518
246,Belarus,2019,0,0.13563560227896612
247,Belarus,2020,0,0.20286508580270302
248,Armenia,2017,0,0.38115946296157904
249,Armenia,2018,0,0.2812825851538527
250,Armenia,2019,0,0.27219898681576243
251,Armenia,2020,0,0.300628876780802
252,Georgia,2017,0,0.5384719154609036
253,Georgia,2018,1,0.41515159092873355
254,Georgia,2019,0,0.47051525796913524
255,Georgia,2020,0,0.4043528636354018
256,Azerbaijan,2017,0,0.4418779017871305
257,Azerbaijan,2018,0,0.36897981289726217
258,Azerbaijan,2019,0,0.36532560879738196
259,Azerbaijan,2020,0,0.39188547191163725
260,Finland,2017,1,0.023465129417967884
261,Finland,2018,0,0.1616966530282496
262,Finland,2019,0,0.048098719141461396
263,Finland,2020,0,0.06304393665530222
264,Sweden,2017,1,0.30744058898334753
265,Sweden,2018,0,0.3301014292647577
266,Sweden,2019,0,0.2982192137653297
267,Sweden,2020,0,0.2070156213632448
268,Norway,2017,0,0.07362768671621936
269,Norway,2018,0,0.0813094232048031
270,Norway,2019,1,0.07721826403808321
271,Norway,2020,0,0.15820011503098427
272,Denmark,2017,0,0.23623315792428032
273,Denmark,2018,0,0.2014531218198738
274,Denmark,2019,0,0.1927055962871104
275,Denmark,2020,0,0.22504711192065188
276,Iceland,2017,0,0.03255947866143615
277,Iceland,2018,0,0.03663149972119475
278,Iceland,2019,0,0.04013987537100505
279,Iceland,2020,0,0.03905809152593726
280,Cabo Verde,2017,0,0.023825393686961134
281,Cabo Verde,2018,0,0.02714748208487967
282,Cabo Verde,2019,0,0.028679667013703756
283,Cabo Verde,2020,0,0.037582014523368235
