,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Fatalities in neighborhood,0.14872485611315164,0.04045061474504233,0.6999403869025359,0.6273348039484941,0.3425780450355281,0.5153885946301557,0.1568438593077625,0.8412183346811111,0.06102249786284197,0.5132348715019347,0.3101061116206532,0.230594448245986,0.21554506622974787,0.45156542202923466,0.08682712377526948,0.4754268567461211,0.17310237189835828,0.04483316290966668,0.3827384720420375,0.027826322787628095,2.99115218467738,1.2326043824548578,0.15647326961059024,0.38646579729090197,0.5847412172162392,0.44816942774426655,0.6098873347900614,0.41536013192966653,0.05800114827199964,0.5057926809485151,0.1202879583773128,0.7224820180466147,0.6162433128552627,0.056866958696861314,0.04277880894278052,0.4513148287758463,0.048013641660276635,-0.016942890392450703,0.7282251674985736,0.4265399650560842,0.07863357976739047,0.07073200545390187,0.02137445690545783,0.4112604966892391,0.01651376436138685,0.1218212529278189,0.36751759421620944,0.3443902868022979,1.949234663691669,0.48884464447653736,0.36454834452006246,0.5373173948068071,2.42847094509366,0.9409191156811682,0.4409667086617728,0.13318795221525995,0.05493929456793187,0.024690134583001854
GDP per capita,0.8661028933645764,0.49548991684570726,0.2904238833594247,0.1363216915522206,0.98900692830928,1.027319598392221,0.33674163109356814,0.5516372506495427,0.4269840054165023,0.28533756147554046,1.3116734730104465,0.7829370560149023,0.3046776629268771,0.3644847628601071,0.3727466718233397,0.29925774787746373,0.5360137789781657,1.751268318820829,0.17679242263672615,0.260807640625015,0.5449229146341513,1.4316375092287033,1.0333813722926075,-0.08206652892023245,0.09092724943831622,0.0782305504914933,0.16462582760909567,1.9866356290178584,0.2773018991784525,1.0518054952461242,0.621195194624901,0.23475410749740683,0.21068203677922157,0.2987595493647855,1.2263152937837987,0.18020787271125654,0.39337249137503394,0.9707292534729521,0.801264224254769,0.8043704238198806,1.2098403158552833,1.6499529917058908,0.3482064374878015,0.249627896804992,0.3977918120495341,0.21739156884422076,0.19120090961172612,0.1873399153014481,0.07775796463359812,0.4534649222476537,1.0602914702661956,0.4108824393299476,0.10978519713759036,0.7903641408005991,1.3142355125547023,0.9521613115774693,0.6573407550686138,0.23165909470054513
GDP growth,0.21047129007398643,0.5944922934472995,-0.019576046252549162,0.17723249121620877,0.11867762824657632,0.20284037798594784,0.24144347234422675,0.07980638741811782,0.991129043888247,0.26916870122687214,0.22134662776474073,0.0458132090068564,0.1361201867136626,0.030821822272627974,0.0690417575713362,0.11665958526254057,0.18406846860838394,2.8636303839119206,0.5191104939488561,1.3533239304878173,0.11391245764827815,0.38183633495904373,1.9879020101644755,3.9258713926503632,0.25240719498495723,0.917596678042181,0.02352643525846396,0.10149222226260761,1.2406958593324589,0.31353697728489344,0.20937366604282412,0.21105468376166744,0.5445550203669628,0.09761477926475798,0.21446995381440512,0.5646610777961525,0.1548068586590565,3.444305795717319,0.22110154167557872,0.1406617853498301,0.5835237995533296,0.12152346661675187,0.09115678656076548,0.006395149630395552,0.3135363287392603,0.009479527824451495,0.0797904657774362,0.06017085117102749,1.1753865174777327,0.06643997623509978,0.8292768169121814,0.011329032143287954,0.030485873561464774,0.18844635288774209,0.13424676014026882,1.543107587629704,0.3113724234752151,1.6018634094458695
Population size,0.504295798931772,0.6194482158547501,0.3298673989123377,0.8339862869859284,0.00947582617598286,-0.018397327162376305,0.09331376459835417,0.5461954970723233,0.7189999699870985,0.06632179774441041,0.3683652243341004,0.688187634167822,1.1277603637795117,1.0193245376017406,1.2665013957736937,1.115192344243127,2.334652262466079,0.06210251962836017,0.5745100014571426,0.4319951457702018,0.06808561363321175,0.31244447114959134,-0.02089753875600664,-0.056793797433363866,0.06197288750149266,0.0021524404523551866,0.8089911133427738,0.35516295340160814,0.7435618203171399,0.5197976865749835,1.3966512493662957,1.2157869293036736,1.5467705500029185,1.1338725589036127,1.2919273106600941,0.9729603528859639,0.9849020037603927,-0.10046416346688919,0.12755297658345038,-0.03468094862199411,0.05913509409833832,0.0654927639223656,-0.01784884175441738,-0.004880574039396457,1.6748370081738344,0.4653332353179699,0.47644862030158913,0.4160732047041,0.3950596416649295,0.6862806563553249,-0.03380969698594966,0.775638792941565,1.0574098910291632,0.757478342704057,0.4877830383250328,0.6327577272002743,0.6013388811574416,0.4567926990724565
Oil rents,0.10118950295299306,0.561797226528226,0.45871702961658545,0.03690759110880176,0.010211486179366186,0.0004792381833924608,1.3526761543661656,0.29851550231697566,0.2691621475973474,1.0274378497539671,0.14115917852594037,0.04286829044010448,0.04001105520609129,0.05616079150707929,0.02547678013984472,0.09125523871948905,-0.02322103930863717,0.18963347409400744,0.5550408542802694,1.7249780999134356,0.1246321553770264,0.15977465490674048,0.02021318788924811,0.3797303922699527,0.3596692920524579,0.5794106972315586,0.05409462680026179,0.21073464905306885,-0.02293805414518335,0.03573359075683058,0.5181778854283148,-0.0403929758246413,-0.01524782619384979,0.0709661141521491,0.12160557467928364,0.20584813079032638,0.35256567842132364,-0.0005839937765861336,0.014183082381321056,0.006247222253464665,0.03186529385468974,0.018901163905028148,-0.0034925363846562973,0.6658877145789306,0.03423843023642211,0.15654732649385442,0.16902663879865015,0.003166960841959554,0.02022895109323475,0.4062803333209928,-0.0031855810116816485,0.01649131510645962,0.13219185734324793,0.0389043094011049,0.0405818811047677,0.03660918734477996,1.4340902927130277,0.6118780815739572
Temperature,0.41048760775020415,0.01184077599852884,0.012912263712692164,1.5426031667910112,0.04968444076523844,0.1078648024504945,0.25782429849467375,0.06821195657210799,0.06222983146170414,0.007209368141944061,-0.04531374902878049,-0.004456255323385783,0.026126922851602785,-0.003546338502848023,0.021750663290283967,0.10055526916485404,0.07110653446353317,-0.016575436684190592,0.024386157056713115,0.0026994116088632225,0.22486444066215688,0.2810074960225481,0.04581522933232843,-0.004557170434008384,0.09034762505565935,0.0885407318490663,1.9016349083085222,0.011835372593392892,0.015162582190171536,0.24965902142164845,0.34130603908852425,0.05692480693305058,0.03070573145519083,0.2259991150122618,0.1822121911583634,1.4716357992113054,2.2366072197608804,0.036484466591681065,0.1691226685404728,0.2402734886122393,0.22442788619307727,0.18873578226117052,0.140428010961667,0.5792673940827016,0.3004670873784589,0.15497232225677865,1.040829639562476,0.48182951739377256,0.05937913788431825,0.1247200863810382,1.5060545288992384,0.48099570978876405,0.07376804597557303,0.06746722742366378,-0.02220142053794172,0.12734671212202886,0.14978239711234106,0.11543690633479199
Ethnic exclusion,-0.010600550346434368,0.3114026447819373,0.11613008496937868,0.029045155467932737,1.4182197555055525,1.6164313196122801,0.2647108427677398,0.32202026382183313,0.3921926275149525,0.12606447877366198,0.8689315312061667,0.9741645450109052,0.9609442411131119,0.37333183278256665,0.5033303172893047,-0.03135608686614377,0.00835991043118598,-0.040966987115278644,0.01160786076648801,0.02197729018472676,0.14836644085006157,0.03436145520124434,-0.041529769276245306,-0.04126248697956661,0.16328091303400635,0.1059931879359786,-0.0054455414700544935,-0.026525656783702445,0.1123217956623487,0.8490073214896061,0.017878900381389062,0.11408736870121824,0.003831301563451236,0.39669572225730393,0.33240275888433896,0.03651168630424273,0.04680638364925649,-0.0451792679553712,-0.015082141414935357,1.5036656245854203,-0.0231458619603373,-0.025766794758252942,-0.05057420834809462,0.25320641935133736,0.18651015715750302,1.058108621243988,1.0808070169321207,1.0462244730613495,0.6629540291906537,1.253005714750836,0.09741676048513187,0.08855164293143628,-0.013274234185164602,0.016079513366516807,0.011866333670154298,0.005834565286714444,0.019518115078020593,0.019230966788077453
Male education,0.28575058391087405,0.1900332334539146,0.9621541250261587,0.19475720275756042,0.8334529043531334,0.8761938529933471,0.40807964838353195,0.2855897763959945,0.31680484381174895,0.16886276666634725,0.1231615147212416,0.16275806454793135,0.13703760786691674,0.09147651495100137,0.1641439316684021,0.19463371272427682,0.26300848765367996,0.03918048216392955,0.16456045743245332,0.1286760254624777,0.15079180007515275,0.2181816057747815,0.12911824526689641,0.03654783566664249,0.17315817120916924,0.11953877814299758,0.16443527179396358,0.3526509879116322,0.07058903183618108,0.20187389128043,0.4264337627100192,0.23925464238319868,0.17375965733248325,0.5249444518855905,0.206994926547709,0.13337857604398218,0.16449990091682595,0.44192347550054006,1.2811782103045763,1.1742260227219135,0.3745602300743047,0.661251746695207,0.9054744740709463,1.0915163649750448,0.32710680239446127,0.10766364260146997,0.12533719714610517,0.07900569095435382,0.033714672476775474,0.29745631619912805,0.04867304943598228,0.4810924063848636,0.40865702237106255,1.0560018675753584,0.451190587198023,0.3330416397071907,0.19243384245207432,0.16700301242189694
Liberal democracy,0.2193033436417423,0.2254021460250064,0.18653870299375702,0.2083763354752897,0.3376258549563458,0.3790750395973388,0.22220419740124342,0.2277820853849773,0.23080515069177057,0.4246197717877378,0.2304373981610245,0.31312448753207306,0.18003496350763565,0.09653032125429983,0.3601575488479973,0.5770589744298246,0.27987493451106793,0.11930686388510393,0.29551629303782273,0.2167369121308459,0.2966082884559981,0.2733068825576789,0.5193249639242132,0.22671427768792288,0.2523322780852175,0.3900274444579382,0.4874253331654313,0.7485054917460068,1.7781276665523922,0.1988335671131558,0.17454301722860685,0.3595409995441977,0.21142870466129934,0.2833955615354653,0.1503278629738444,0.23076299847529666,0.3013516319079196,0.10769671240683462,0.1902888792675178,0.18168136532187742,0.5049402728723512,0.3521382620337482,0.17899336525707404,0.250250548313909,0.45270369578903363,1.3618315994366075,0.21726426962899517,0.1958349140657419,0.19853413018512595,0.5210062646074614,0.20906002566653556,0.3848030892926299,0.47560771146910186,0.27907407874275886,0.27588752740588773,0.2775779093806686,0.5106430806077591,0.500180841064264
Regulatory quality,1.2674860235018397,0.19513094061463673,1.0598920878470646,0.21748926918352154,0.5681806217899578,0.12964710697096768,0.5880506920482143,0.12167767078768171,0.168443907342123,1.1949595960521466,0.7003075148558,1.2134493822658772,1.0593156853973336,1.5360788021368517,1.5478162274039526,0.09375809707048169,0.07920610955348541,0.5498882273792848,1.6387031040667985,0.973236443912382,0.5110177478933956,0.4399826594176185,0.9089908468928786,0.7999980124721939,2.5279882792841204,2.305558522901747,0.1676632133745763,0.6504660102616538,0.16709943457929838,0.08730440424804008,0.10783842097505483,0.17558768387962956,0.2832763497389547,0.2956739035094921,0.4778211611439181,0.04074892415819943,0.06080010487552547,0.37659162350058945,0.8461083851201276,0.14850854471064465,1.02039608989912,1.1513955010283046,2.8512874276999174,0.9677559266438206,0.264599642467496,0.5275762040812387,0.9467130278402734,1.1753677814580648,0.6067032671788091,0.2136897618719639,0.9434050330135942,0.26128142362534695,0.1717661735332079,0.28955473532402987,0.3425354750841044,0.31259206414969154,0.09626181437145087,0.4570104422559362
