,country,gw_codes,year,sb_fatalities,preds
122,Armenia,371,2022,0,0.08539899453233189
123,Armenia,371,2022,0,0.08539899453233189
124,Armenia,371,2022,1,0.08539899453233189
125,Armenia,371,2022,1,7.595963487892442
126,Armenia,371,2022,0,6.498531098952476
127,Armenia,371,2022,0,11.472913768062094
128,Armenia,371,2022,149,11.004817425752126
129,Armenia,371,2022,0,10.62765515624423
130,Armenia,371,2022,0,7.365606462781669
131,Armenia,371,2022,0,8.220556402902302
132,Armenia,371,2023,0,7.0485669596223515
133,Armenia,371,2023,0,9.769098645190974
134,Armenia,371,2023,1,6.556324912325233
135,Armenia,371,2023,7,5.779533225555276
136,Armenia,371,2023,4,0.061910507707532585
137,Armenia,371,2023,0,6.369877602765962
138,Armenia,371,2023,0,7.0485669596223515
139,Armenia,371,2023,1,5.925032350734163
140,Armenia,371,2023,4,5.354525355245516
141,Armenia,371,2023,2,30.232075236286448
142,Armenia,371,2023,0,10.3133200471772
143,Armenia,371,2023,1,8.616720213829607
144,Australia,900,2022,0,0.011477397119444958
145,Australia,900,2022,0,0.011477397119444958
146,Australia,900,2022,0,0.011477397119444958
147,Australia,900,2022,0,0.011477397119444958
148,Australia,900,2022,0,0.011477397119444958
149,Australia,900,2022,0,0.011477397119444958
150,Australia,900,2022,0,0.011477397119444958
151,Australia,900,2022,0,0.011477397119444958
152,Australia,900,2022,0,0.011477397119444958
153,Australia,900,2022,0,0.011477397119444958
154,Australia,900,2022,0,0.011477397119444958
155,Australia,900,2022,0,0.011477397119444958
156,Australia,900,2023,0,0.011018240208820898
157,Australia,900,2023,0,0.011018240208820898
158,Australia,900,2023,0,0.011018240208820898
159,Australia,900,2023,0,0.011018240208820898
160,Australia,900,2023,0,0.011018240208820898
161,Australia,900,2023,0,0.011018240208820898
162,Australia,900,2023,0,0.011018240208820898
163,Australia,900,2023,0,0.011018240208820898
164,Australia,900,2023,0,0.011018240208820898
165,Australia,900,2023,0,0.011018240208820898
166,Australia,900,2023,0,0.011018240208820898
167,Australia,900,2023,0,0.011018240208820898
168,Austria,305,2022,0,0.013022277699740997
169,Austria,305,2022,0,0.013022277699740997
170,Austria,305,2022,0,0.013022277699740997
171,Austria,305,2022,0,0.013022277699740997
172,Austria,305,2022,0,0.013022277699740997
173,Austria,305,2022,0,0.013022277699740997
174,Austria,305,2022,0,0.013022277699740997
175,Austria,305,2022,0,0.013022277699740997
176,Austria,305,2022,0,0.013022277699740997
177,Austria,305,2022,0,0.013022277699740997
178,Austria,305,2022,0,0.013022277699740997
179,Austria,305,2022,0,0.013022277699740997
180,Austria,305,2023,0,0.013792727239869287
181,Austria,305,2023,0,0.013792727239869287
182,Austria,305,2023,0,0.013792727239869287
183,Austria,305,2023,0,0.013792727239869287
184,Austria,305,2023,0,0.013792727239869287
185,Austria,305,2023,0,0.013792727239869287
186,Austria,305,2023,0,0.013792727239869287
187,Austria,305,2023,0,0.013792727239869287
188,Austria,305,2023,0,0.013792727239869287
189,Austria,305,2023,0,0.013792727239869287
190,Austria,305,2023,0,0.013792727239869287
191,Austria,305,2023,0,0.013792727239869287
192,Azerbaijan,373,2022,1,82.04651079447139
193,Azerbaijan,373,2022,0,19.191646839012687
194,Azerbaijan,373,2022,3,12.533141706202233
195,Azerbaijan,373,2022,0,6.580216093542777
196,Azerbaijan,373,2022,0,5.9175948400346465
197,Azerbaijan,373,2022,0,0.07055265291293464
198,Azerbaijan,373,2022,0,9.376497632710233
199,Azerbaijan,373,2022,3,9.73347900510008
200,Azerbaijan,373,2022,145,7.304769696848797
201,Azerbaijan,373,2022,1,5.9175948400346465
202,Azerbaijan,373,2022,0,6.718435041629663
203,Azerbaijan,373,2022,1,15.394593529941055
204,Azerbaijan,373,2023,0,13.96267685102294
205,Azerbaijan,373,2023,0,10.670077858947185
206,Azerbaijan,373,2023,5,6.439984741772711
207,Azerbaijan,373,2023,3,8.674174541146504
208,Azerbaijan,373,2023,0,5.96804502207951
209,Azerbaijan,373,2023,4,5.678533188339016
210,Azerbaijan,373,2023,0,0.056183853326465756
211,Azerbaijan,373,2023,0,0.056183853326465756
212,Azerbaijan,373,2023,430,8.036304352359895
213,Azerbaijan,373,2023,0,36.01776753519713
214,Azerbaijan,373,2023,0,15.099159845729094
215,Azerbaijan,373,2023,0,9.340317350649999
216,Bahrain,692,2022,0,0.024735818798745042
217,Bahrain,692,2022,0,0.024735818798745042
218,Bahrain,692,2022,0,0.024735818798745042
219,Bahrain,692,2022,0,0.024735818798745042
220,Bahrain,692,2022,0,0.024735818798745042
221,Bahrain,692,2022,0,0.024735818798745042
222,Bahrain,692,2022,0,0.024735818798745042
223,Bahrain,692,2022,0,0.024735818798745042
224,Bahrain,692,2022,0,0.024735818798745042
225,Bahrain,692,2022,0,0.024735818798745042
226,Bahrain,692,2022,0,0.024735818798745042
227,Bahrain,692,2022,0,0.024735818798745042
228,Bahrain,692,2023,0,0.023072567659684323
229,Bahrain,692,2023,0,0.023072567659684323
230,Bahrain,692,2023,0,0.023072567659684323
231,Bahrain,692,2023,0,0.023072567659684323
232,Bahrain,692,2023,0,0.023072567659684323
233,Bahrain,692,2023,0,0.023072567659684323
234,Bahrain,692,2023,0,0.023072567659684323
235,Bahrain,692,2023,0,0.023072567659684323
236,Bahrain,692,2023,0,0.023072567659684323
237,Bahrain,692,2023,0,0.023072567659684323
238,Bahrain,692,2023,0,0.023072567659684323
239,Bahrain,692,2023,0,0.023072567659684323
240,Bangladesh,771,2022,0,7.198397225939134
241,Bangladesh,771,2022,4,5.690491850069416
242,Bangladesh,771,2022,0,5.5939628637027745
243,Bangladesh,771,2022,0,0.10104351286360716
244,Bangladesh,771,2022,0,0.10104351286360716
245,Bangladesh,771,2022,0,0.10104351286360716
246,Bangladesh,771,2022,0,0.10104351286360716
247,Bangladesh,771,2022,0,0.10104351286360716
248,Bangladesh,771,2022,1,0.10104351286360716
249,Bangladesh,771,2022,1,0.10104351286360716
250,Bangladesh,771,2022,0,0.10104351286360716
251,Bangladesh,771,2022,0,0.10104351286360716
252,Bangladesh,771,2023,0,0.09545264200773801
253,Bangladesh,771,2023,0,0.09545264200773801
254,Bangladesh,771,2023,0,9.003697360391913
255,Bangladesh,771,2023,0,6.373766355208127
256,Bangladesh,771,2023,0,6.016224722189394
257,Bangladesh,771,2023,0,0.09545264200773801
258,Bangladesh,771,2023,0,0.09545264200773801
259,Bangladesh,771,2023,0,0.09545264200773801
260,Bangladesh,771,2023,0,0.09545264200773801
261,Bangladesh,771,2023,0,6.469689598124765
262,Bangladesh,771,2023,0,7.159013589675522
263,Bangladesh,771,2023,0,6.017873897085832
264,Barbados,53,2022,0,0.03935931784567358
265,Barbados,53,2022,0,0.03935931784567358
266,Barbados,53,2022,0,0.03935931784567358
267,Barbados,53,2022,0,0.03935931784567358
268,Barbados,53,2022,0,0.03935931784567358
269,Barbados,53,2022,0,0.03935931784567358
270,Barbados,53,2022,0,0.03935931784567358
271,Barbados,53,2022,0,0.03935931784567358
272,Barbados,53,2022,0,0.03935931784567358
273,Barbados,53,2022,0,0.03935931784567358
274,Barbados,53,2022,0,0.03935931784567358
275,Barbados,53,2022,0,0.03935931784567358
276,Barbados,53,2023,0,0.027812657216541657
277,Barbados,53,2023,0,0.027812657216541657
278,Barbados,53,2023,0,0.027812657216541657
279,Barbados,53,2023,0,0.027812657216541657
280,Barbados,53,2023,0,0.027812657216541657
281,Barbados,53,2023,0,0.027812657216541657
282,Barbados,53,2023,0,0.027812657216541657
283,Barbados,53,2023,0,0.027812657216541657
284,Barbados,53,2023,0,0.027812657216541657
285,Barbados,53,2023,0,0.027812657216541657
286,Barbados,53,2023,0,0.027812657216541657
287,Barbados,53,2023,0,0.027812657216541657
288,Belarus,370,2022,0,0.058386477612828294
289,Belarus,370,2022,0,0.058386477612828294
290,Belarus,370,2022,0,0.058386477612828294
291,Belarus,370,2022,0,0.058386477612828294
292,Belarus,370,2022,0,0.058386477612828294
293,Belarus,370,2022,0,0.058386477612828294
294,Belarus,370,2022,0,0.058386477612828294
295,Belarus,370,2022,0,0.058386477612828294
296,Belarus,370,2022,0,0.058386477612828294
297,Belarus,370,2022,0,0.058386477612828294
298,Belarus,370,2022,0,0.058386477612828294
299,Belarus,370,2022,0,0.058386477612828294
300,Belarus,370,2023,0,0.0636086709896921
301,Belarus,370,2023,0,0.0636086709896921
302,Belarus,370,2023,0,0.0636086709896921
303,Belarus,370,2023,0,0.0636086709896921
304,Belarus,370,2023,0,0.0636086709896921
305,Belarus,370,2023,0,0.0636086709896921
306,Belarus,370,2023,0,0.0636086709896921
307,Belarus,370,2023,0,0.0636086709896921
308,Belarus,370,2023,0,0.0636086709896921
309,Belarus,370,2023,0,0.0636086709896921
310,Belarus,370,2023,0,0.0636086709896921
311,Belarus,370,2023,0,0.0636086709896921
312,Belgium,211,2022,0,0.01288308330577368
313,Belgium,211,2022,0,0.01288308330577368
314,Belgium,211,2022,0,0.01288308330577368
315,Belgium,211,2022,0,0.01288308330577368
316,Belgium,211,2022,0,0.01288308330577368
