,country,dd,sb_fatalities,preds
152,Australia,2022-09,0,0.0
153,Australia,2022-10,0,0.0
154,Australia,2022-11,0,0.0
155,Australia,2022-12,0,0.0
156,Australia,2023-01,0,0.0
157,Australia,2023-02,0,0.0
158,Australia,2023-03,0,0.0
159,Australia,2023-04,0,0.0
160,Australia,2023-05,0,0.0
161,Australia,2023-06,0,0.0
162,Australia,2023-07,0,0.0
163,Australia,2023-08,0,0.0
164,Australia,2023-09,0,0.0
165,Australia,2023-10,0,0.0
166,Australia,2023-11,0,0.0
167,Australia,2023-12,0,0.0
168,Austria,2022-01,0,0.0
169,Austria,2022-02,0,0.0
170,Austria,2022-03,0,0.0
171,Austria,2022-04,0,0.0
172,Austria,2022-05,0,0.0
173,Austria,2022-06,0,0.0
174,Austria,2022-07,0,0.0
175,Austria,2022-08,0,0.0
176,Austria,2022-09,0,0.0
177,Austria,2022-10,0,0.0
178,Austria,2022-11,0,0.0
179,Austria,2022-12,0,0.0
180,Austria,2023-01,0,0.0
181,Austria,2023-02,0,0.0
182,Austria,2023-03,0,0.0
183,Austria,2023-04,0,0.0
184,Austria,2023-05,0,0.0
185,Austria,2023-06,0,0.0
186,Austria,2023-07,0,0.0
187,Austria,2023-08,0,0.0
188,Austria,2023-09,0,0.0
189,Austria,2023-10,0,0.0
190,Austria,2023-11,0,0.0
191,Austria,2023-12,0,0.0
192,Azerbaijan,2022-01,1,15.09
193,Azerbaijan,2022-02,0,0.3
194,Azerbaijan,2022-03,3,1.63
195,Azerbaijan,2022-04,0,166.9
196,Azerbaijan,2022-05,0,433.96
197,Azerbaijan,2022-06,0,96.6
198,Azerbaijan,2022-07,0,14.5
199,Azerbaijan,2022-08,3,22.0
200,Azerbaijan,2022-09,145,118.89
201,Azerbaijan,2022-10,1,1.17
202,Azerbaijan,2022-11,0,6.24
203,Azerbaijan,2022-12,1,0.7
204,Azerbaijan,2023-01,0,3.64
205,Azerbaijan,2023-02,0,0.58
206,Azerbaijan,2023-03,5,427.86
207,Azerbaijan,2023-04,3,3.94
208,Azerbaijan,2023-05,0,9.26
209,Azerbaijan,2023-06,4,4.45
210,Azerbaijan,2023-07,0,70.34111904761905
211,Azerbaijan,2023-08,0,39.13
212,Azerbaijan,2023-09,430,39.13
213,Azerbaijan,2023-10,0,125.47
214,Azerbaijan,2023-11,0,24.56
215,Azerbaijan,2023-12,0,0.96
216,Bahrain,2022-01,0,0.0
217,Bahrain,2022-02,0,0.0
218,Bahrain,2022-03,0,0.0
219,Bahrain,2022-04,0,0.0
220,Bahrain,2022-05,0,0.0
221,Bahrain,2022-06,0,0.0
222,Bahrain,2022-07,0,0.0
223,Bahrain,2022-08,0,0.0
224,Bahrain,2022-09,0,0.0
225,Bahrain,2022-10,0,0.0
226,Bahrain,2022-11,0,0.0
227,Bahrain,2022-12,0,0.0
228,Bahrain,2023-01,0,0.0
229,Bahrain,2023-02,0,0.0
230,Bahrain,2023-03,0,0.0
231,Bahrain,2023-04,0,0.0
232,Bahrain,2023-05,0,0.0
233,Bahrain,2023-06,0,0.0
234,Bahrain,2023-07,0,0.0
235,Bahrain,2023-08,0,0.0
236,Bahrain,2023-09,0,0.0
237,Bahrain,2023-10,0,0.0
238,Bahrain,2023-11,0,0.0
239,Bahrain,2023-12,0,0.0
240,Bangladesh,2022-01,0,0.0
241,Bangladesh,2022-02,4,0.0
242,Bangladesh,2022-03,0,0.0
243,Bangladesh,2022-04,0,0.0
244,Bangladesh,2022-05,0,0.0
245,Bangladesh,2022-06,0,0.0
246,Bangladesh,2022-07,0,0.0
247,Bangladesh,2022-08,0,0.0
248,Bangladesh,2022-09,1,0.0
249,Bangladesh,2022-10,1,0.0
250,Bangladesh,2022-11,0,0.0
251,Bangladesh,2022-12,0,0.0
252,Bangladesh,2023-01,0,0.0
253,Bangladesh,2023-02,0,28.57
254,Bangladesh,2023-03,0,9.8
255,Bangladesh,2023-04,0,140.92
256,Bangladesh,2023-05,0,0.0
257,Bangladesh,2023-06,0,14.56
258,Bangladesh,2023-07,0,0.0
259,Bangladesh,2023-08,0,0.0
260,Bangladesh,2023-09,0,0.0
261,Bangladesh,2023-10,0,0.0
262,Bangladesh,2023-11,0,43.77
263,Bangladesh,2023-12,0,85.76
264,Barbados,2022-01,0,0.0
265,Barbados,2022-02,0,0.0
266,Barbados,2022-03,0,0.0
267,Barbados,2022-04,0,0.0
268,Barbados,2022-05,0,0.0
269,Barbados,2022-06,0,0.0
270,Barbados,2022-07,0,0.0
271,Barbados,2022-08,0,0.0
272,Barbados,2022-09,0,0.0
273,Barbados,2022-10,0,0.0
274,Barbados,2022-11,0,0.0
275,Barbados,2022-12,0,0.0
276,Barbados,2023-01,0,0.0
277,Barbados,2023-02,0,0.0
278,Barbados,2023-03,0,0.0
279,Barbados,2023-04,0,0.0
280,Barbados,2023-05,0,0.0
281,Barbados,2023-06,0,0.0
282,Barbados,2023-07,0,0.0
283,Barbados,2023-08,0,0.0
284,Barbados,2023-09,0,0.0
285,Barbados,2023-10,0,0.0
286,Barbados,2023-11,0,0.0
287,Barbados,2023-12,0,0.0
288,Belarus,2022-01,0,0.0
289,Belarus,2022-02,0,0.0
290,Belarus,2022-03,0,0.0
291,Belarus,2022-04,0,0.0
292,Belarus,2022-05,0,0.0
293,Belarus,2022-06,0,0.0
294,Belarus,2022-07,0,0.0
295,Belarus,2022-08,0,0.0
296,Belarus,2022-09,0,0.0
297,Belarus,2022-10,0,0.0
298,Belarus,2022-11,0,0.0
299,Belarus,2022-12,0,0.0
300,Belarus,2023-01,0,0.0
301,Belarus,2023-02,0,0.0
302,Belarus,2023-03,0,0.0
303,Belarus,2023-04,0,0.0
304,Belarus,2023-05,0,0.0
305,Belarus,2023-06,0,0.0
306,Belarus,2023-07,0,0.0
307,Belarus,2023-08,0,0.0
308,Belarus,2023-09,0,0.0
309,Belarus,2023-10,0,0.0
310,Belarus,2023-11,0,0.0
311,Belarus,2023-12,0,0.0
312,Belgium,2022-01,0,0.0
313,Belgium,2022-02,0,0.0
314,Belgium,2022-03,0,0.0
315,Belgium,2022-04,0,0.0
316,Belgium,2022-05,0,0.0
317,Belgium,2022-06,0,0.0
318,Belgium,2022-07,0,0.0
319,Belgium,2022-08,0,0.0
320,Belgium,2022-09,0,0.0
321,Belgium,2022-10,0,0.0
322,Belgium,2022-11,0,0.0
323,Belgium,2022-12,0,0.0
324,Belgium,2023-01,0,0.0
325,Belgium,2023-02,0,0.0
326,Belgium,2023-03,0,0.0
327,Belgium,2023-04,0,0.0
328,Belgium,2023-05,0,0.0
329,Belgium,2023-06,0,0.0
330,Belgium,2023-07,0,0.0
331,Belgium,2023-08,0,0.0
332,Belgium,2023-09,0,0.0
333,Belgium,2023-10,0,0.0
334,Belgium,2023-11,0,0.0
335,Belgium,2023-12,0,0.0
336,Benin,2022-01,2,0.0
337,Benin,2022-02,9,0.0
338,Benin,2022-03,0,0.0
339,Benin,2022-04,6,0.0
340,Benin,2022-05,0,0.0
341,Benin,2022-06,4,0.0
342,Benin,2022-07,0,0.0
343,Benin,2022-08,0,0.0
344,Benin,2022-09,0,0.0
345,Benin,2022-10,8,0.0
346,Benin,2022-11,1,0.0
347,Benin,2022-12,0,0.0
348,Benin,2023-01,2,0.0
349,Benin,2023-02,3,0.0
350,Benin,2023-03,2,0.0
351,Benin,2023-04,0,0.0
352,Benin,2023-05,10,0.0
353,Benin,2023-06,0,0.0
354,Benin,2023-07,0,0.0
355,Benin,2023-08,6,0.0
356,Benin,2023-09,2,0.0
357,Benin,2023-10,0,0.0
358,Benin,2023-11,1,0.0
359,Benin,2023-12,2,0.0
360,Bhutan,2022-01,0,0.0
361,Bhutan,2022-02,0,0.0
362,Bhutan,2022-03,0,0.0
363,Bhutan,2022-04,0,0.0
364,Bhutan,2022-05,0,0.0
365,Bhutan,2022-06,0,0.0
366,Bhutan,2022-07,0,0.0
367,Bhutan,2022-08,0,0.0
368,Bhutan,2022-09,0,0.0
369,Bhutan,2022-10,0,0.0
370,Bhutan,2022-11,0,0.0
371,Bhutan,2022-12,0,0.0
372,Bhutan,2023-01,0,0.0
373,Bhutan,2023-02,0,0.0
374,Bhutan,2023-03,0,0.0
375,Bhutan,2023-04,0,0.0
376,Bhutan,2023-05,0,0.0
377,Bhutan,2023-06,0,0.0
378,Bhutan,2023-07,0,0.0
379,Bhutan,2023-08,0,0.0
380,Bhutan,2023-09,0,0.0
381,Bhutan,2023-10,0,0.0
382,Bhutan,2023-11,0,0.0
383,Bhutan,2023-12,0,0.0
384,Bolivia,2022-01,0,0.0
385,Bolivia,2022-02,0,0.0
386,Bolivia,2022-03,0,0.0
387,Bolivia,2022-04,0,0.0
388,Bolivia,2022-05,0,0.0
389,Bolivia,2022-06,0,0.0
390,Bolivia,2022-07,0,0.0
391,Bolivia,2022-08,0,0.0
392,Bolivia,2022-09,0,0.0
393,Bolivia,2022-10,0,0.0
394,Bolivia,2022-11,0,0.0
395,Bolivia,2022-12,0,0.0
396,Bolivia,2023-01,0,0.0
397,Bolivia,2023-02,0,0.0
398,Bolivia,2023-03,0,0.0
399,Bolivia,2023-04,0,0.0
400,Bolivia,2023-05,0,0.0
401,Bolivia,2023-06,0,0.0
402,Bolivia,2023-07,0,0.0
403,Bolivia,2023-08,0,0.0
404,Bolivia,2023-09,0,0.0
405,Bolivia,2023-10,0,0.0
406,Bolivia,2023-11,0,0.0
407,Bolivia,2023-12,0,0.0
408,Bosnia-Herzegovina,2022-01,0,0.0
409,Bosnia-Herzegovina,2022-02,0,0.0
410,Bosnia-Herzegovina,2022-03,0,0.0
411,Bosnia-Herzegovina,2022-04,0,0.0
412,Bosnia-Herzegovina,2022-05,0,0.0
413,Bosnia-Herzegovina,2022-06,0,0.0
414,Bosnia-Herzegovina,2022-07,0,0.0
415,Bosnia-Herzegovina,2022-08,0,0.0
